Abroscopus albogularis,Rufous-faced Warbler
Carpodacus erythrinus,Common Rosefinch
Carpodacus sibiricus,Long-tailed Rosefinch
Carpornis cucullata,Hooded Berryeater
Caryothraustes canadensis,Yellow-green Grosbeak
Caryothraustes poliogaster,Black-faced Grosbeak
Casiornis rufus,Rufous Casiornis
Cassiculus melanicterus,Yellow-winged Cacique
Catamenia inornata,Plain-colored Seedeater
Catharus aurantiirostris,Orange-billed Nightingale-Thrush
Catharus bicknelli,Bicknell's Thrush
Catharus dryas,Yellow-throated Nightingale-Thrush
Catharus frantzii,Ruddy-capped Nightingale-Thrush
Catharus fuscater,Slaty-backed Nightingale-Thrush
Catharus fuscescens,Veery
Catharus gracilirostris,Black-billed Nightingale-Thrush
Catharus guttatus,Hermit Thrush
Catharus maculatus,Speckled Nightingale-Thrush
Catharus mexicanus,Black-headed Nightingale-Thrush
Catharus minimus,Gray-cheeked Thrush
Catharus ustulatus,Swainson's Thrush
Catherpes mexicanus,Canyon Wren
Cecropis abyssinica,Lesser Striped Swallow
Cecropis cucullata,Greater Striped Swallow
Cecropis daurica,Red-rumped Swallow
Celeus elegans,Chestnut Woodpecker
Celeus flavescens,Blond-crested Woodpecker
Celeus flavus,Cream-colored Woodpecker
Celeus grammicus,Scale-breasted Woodpecker
Celeus loricatus,Cinnamon Woodpecker
Celeus torquatus,Ringed Woodpecker
Centrocercus urophasianus,Greater Sage-Grouse
Centronyx bairdii,Baird's Sparrow
Centronyx henslowii,Henslow's Sparrow
Centropus bengalensis,Lesser Coucal
Centropus phasianinus,Pheasant Coucal
Centropus sinensis,Greater Coucal
Centropus superciliosus,White-browed Coucal
Centropus viridis,Philippine Coucal
Ceratopipra erythrocephala,Golden-headed Manakin
Ceratopipra mentalis,Red-capped Manakin
Ceratopipra rubrocapilla,Red-headed Manakin
Cercomacra cinerascens,Gray Antbird
Cercomacra manu,Manu Antbird
Cercomacra melanaria,Mato Grosso Antbird
Cercomacra nigricans,Jet Antbird
Cercomacroides fuscicauda,Riparian Antbird
Cercomacroides nigrescens,Blackish Antbird
Cercomacroides parkeri,Parker's Antbird
Cercomacroides serva,Black Antbird
Cercomacroides tyrannina,Dusky Antbird
Cercotrichas galactotes,Rufous-tailed Scrub-Robin
Cercotrichas leucophrys,Red-backed Scrub-Robin
Cercotrichas quadrivirgata,Bearded Scrub-Robin
Certhia americana,Brown Creeper
Certhia brachydactyla,Short-toed Treecreeper
Certhia familiaris,Eurasian Treecreeper
Certhiaxis cinnamomeus,Yellow-chinned Spinetail
Ceryle rudis,Pied Kingfisher
Cettia brunnifrons,Gray-sided Bush Warbler
Cettia castaneocoronata,Chestnut-headed Tesia
Cettia cetti,Cetti's Warbler
Ceuthmochares australis,Green Malkoha
Chaetura brachyura,Short-tailed Swift
Chaetura cinereiventris,Gray-rumped Swift
Chaetura meridionalis,Sick's Swift
Chaetura pelagica,Chimney Swift
Chaetura vauxi,Vaux's Swift
Chalcomitra amethystina,Amethyst Sunbird
Chalcomitra senegalensis,Scarlet-chested Sunbird
Chalcophaps indica,Asian Emerald Dove
Chamaea fasciata,Wrentit
Chamaepetes goudotii,Sickle-winged Guan
Chamaeza campanisona,Short-tailed Antthrush
Chamaeza meruloides,Such's Antthrush
Chamaeza ruficauda,Rufous-tailed Antthrush
Charadrius alexandrinus,Kentish Plover
Charadrius collaris,Collared Plover
Charadrius dubius,Little Ringed Plover
Charadrius hiaticula,Common Ringed Plover
Charadrius melodus,Piping Plover
Charadrius morinellus,Eurasian Dotterel
Charadrius nivosus,Snowy Plover
Charadrius semipalmatus,Semipalmated Plover
Charadrius vociferus,Killdeer
Charadrius wilsonia,Wilson's Plover
Chasiempis sandwichensis,Hawaii Elepaio
Chauna torquata,Southern Screamer
Chelidoptera tenebrosa,Swallow-winged Puffbird
Chersophilus duponti,Dupont's Lark
Chiroxiphia boliviana,Yungas Manakin
Chiroxiphia caudata,Swallow-tailed Manakin
Chiroxiphia lanceolata,Lance-tailed Manakin
Chiroxiphia linearis,Long-tailed Manakin
Chiroxiphia pareola,Blue-backed Manakin
Chlidonias hybrida,Whiskered Tern
Chlidonias leucopterus,White-winged Tern
Chlidonias niger,Black Tern
Chlorestes candida,White-bellied Emerald
Chlorestes cyanus,White-chinned Sapphire
Chloris chloris,European Greenfinch
Chloris sinica,Oriental Greenfinch
Chloroceryle amazona,Amazon Kingfisher
Chloroceryle americana,Green Kingfisher
Chlorocichla flaviventris,Yellow-bellied Greenbul
Chlorodrepanis virens,Hawaii Amakihi
Chlorophanes spiza,Green Honeycreeper
Chlorophonia cyanea,Blue-naped Chlorophonia
Chlorophonia cyanocephala,Golden-rumped Euphonia
Chlorophonia elegantissima,Elegant Euphonia
Chlorophonia occipitalis,Blue-crowned Chlorophonia
Chlorophonia pyrrhophrys,Chestnut-breasted Chlorophonia
Chloropicus fuscescens,Cardinal Woodpecker
Chloropicus namaquus,Bearded Woodpecker
Chloropsis aurifrons,Golden-fronted Leafbird
Chloropsis cochinchinensis,Blue-winged Leafbird
Chloropsis hardwickii,Orange-bellied Leafbird
Chloropsis jerdoni,Jerdon's Leafbird
Chlorornis riefferii,Grass-green Tanager
Chlorospingus flavigularis,Yellow-throated Chlorospingus
Chlorospingus flavopectus,Common Chlorospingus
Chlorospingus pileatus,Sooty-capped Chlorospingus
Chlorospingus semifuscus,Dusky Chlorospingus
Chlorostilbon lucidus,Glittering-bellied Emerald
Chlorothraupis carmioli,Carmiol's Tanager
Chlorothraupis stolzmanni,Ochre-breasted Tanager
Chondestes grammacus,Lark Sparrow
Chordeiles acutipennis,Lesser Nighthawk
Chordeiles gundlachii,Antillean Nighthawk
Chordeiles minor,Common Nighthawk
Chordeiles pusillus,Least Nighthawk
Chroicocephalus cirrocephalus,Gray-hooded Gull
Chroicocephalus genei,Slender-billed Gull
