,Common name / Scientific,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type,Remarks,Actions,Cat.nr.,copyright,filename,download url
3,Vervain Hummingbird (Mellisuga minima),0:32,Ross Gallardy,2016-03-16,09:30,Dominican Republic,"Rabo de Gato, Independencia, Dominican Republic",400,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC308614,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC308614 - Vervain Hummingbird - Mellisuga minima.mp3,/308614/download
4,Vervain Hummingbird (Mellisuga minima),0:16,Ian Davies,2012-03-17,?,Dominican Republic,"Santo Domingo Botanical Gardens, Santo Domingo, Dominican Republic",?,Song,[sono],ABCDE,XC97202,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC97202 - Vervain Hummingbird - Mellisuga minima.mp3,/97202/download
5,Vervain Hummingbird (Mellisuga minima minima),0:13,Richard C. Hoyer,2010-04-11,06:10,Jamaica,"Port Royal, St. Andrew",5,song,[sono],ABCDE,XC48139,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC48139 - Vervain Hummingbird - Mellisuga minima minima.mp3,/48139/download
6,Vervain Hummingbird (Mellisuga minima minima),0:25,Nathan Hentze,2014-02-05,08:45,Jamaica,"Marshall's Pen, Mandeville",650,song,"Singing from exposed perches on edge of pastureland. Several birds present, only one in recording. Recorded using Sennheiser ME66/K6 and Sony PCM-M10.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC169916,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC169916 - Vervain Hummingbird - Mellisuga minima minima.mp3,/169916/download
7,Vervain Hummingbird (Mellisuga minima minima),0:17,Christopher J. Clark,2005-07-11,12:45,Jamaica,"Section, Blue Mountains, Portland Parish",1000,song,"This recording is featured in figure 1 of the species account of the Vervain Hummingbird on the Neotropical Birds Online website.
  [also]
[sono]",ABCDE,XC30511,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC30511 - Vervain Hummingbird - Mellisuga minima minima.mp3,/30511/download
8,Vervain Hummingbird (Mellisuga minima),0:05,Ian Davies,2012-03-17,?,Dominican Republic,"Santo Domingo Botanical Gardens, Santo Domingo, Dominican Republic",?,Call,[sono],ABCDE,XC97201,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC97201 - Vervain Hummingbird - Mellisuga minima.mp3,/97201/download
9,Vervain Hummingbird (Mellisuga minima),0:59,Ante Strand,2000-06-05,1:00,Dominican Republic,"Santo Domingo Botanical Garden, Dominican Republic",?,song,[sono],ABCDE,XC15758,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC15758 - Vervain Hummingbird - Mellisuga minima.mp3,/15758/download
0,Chestnut-bellied Cuckoo (Coccyzus pluvialis),0:37,Nathan Hentze,2014-02-07,17:57,Jamaica,Ecclesdown Rd,300,call,"Two perched cuckoos sitting on branches a couple metres apart, facing each other. One cuckoo giving a softer call, being answered by harsher, nasally ""raah"" of the other bird. Louder call is from bird facing microphone. Calls given with simultaneously tail raising. Both birds appeared to be adult, possibly courtship behaviour?  Recorded around dusk with Sennheiser ME66/K6 with Sony PCM-M10. No filtering or editing other than removing very brief (<1 s) section between first and second calls when microphone got bumped. 
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC170573,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC170573 - Chestnut-bellied Cuckoo - Coccyzus pluvialis.mp3,/170573/download
0,Jamaican Lizard Cuckoo (Coccyzus vetula),0:11,Andrew Spencer,2016-03-16,08:30,Jamaica,"Silver Hill Gap, St. Andrew",1100,call,"natural vocalization; call from a bird moving at mid-height through tall, humid montane forest.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC311806,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC311806 - Jamaican Lizard Cuckoo - Coccyzus vetula.mp3,/311806/download
0,Ring-tailed Pigeon (Patagioenas caribaea),0:28,Andrew Spencer,2016-03-16,07:00,Jamaica,"Silver Hill Gap, St. Andrew",1100,song,"natural vocalization; songs from a bird perched high in tall, humid montane forest.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC311802,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC311802 - Ring-tailed Pigeon - Patagioenas caribaea.mp3,/311802/download
0,Plain Pigeon (Patagioenas inornata),0:24,Hans Matheve,2015-04-17,?,Cuba,"Najasa, Camagüey",100,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC256880,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC256880 - Plain Pigeon - Patagioenas inornata.mp3,/256880/download
1,Plain Pigeon (Patagioenas inornata),0:56,Andy Mitchell,2014-12-01,07:00,Cuba,"Finca La Belen, Camaguey",120,song,"Open woodland
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC209400,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC209400 - Plain Pigeon - Patagioenas inornata.mp3,/209400/download
2,Plain Pigeon (Patagioenas inornata),0:11,Catriona Leven,2014-12-25,16:00,Cuba,"Near Hotel Finca/La Hacienda La Belén, Najasa, Camagüey",90,call,"Location on map approximate, but three birds seen perching in group of palm trees near cemetary nearLa Hacienda/Hotel Finca La Belen; in background the same Cuban Crows from recording XC318134 can be heard . They called intermittently, and were visible for ~5 minutes. Filtered to remove some road/wind noise.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC318135,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC318135 - Plain Pigeon - Patagioenas inornata.mp3,/318135/download
3,Plain Pigeon (Patagioenas inornata),0:51,Andy Mitchell,2014-11-30,07:00,Cuba,"Finca La Belen, Camaguey",120,song,"Open woodland
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC209401,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC209401 - Plain Pigeon - Patagioenas inornata.mp3,/209401/download
4,Plain Pigeon (Patagioenas inornata),0:33,Eric DeFonso,2014-03-10,17:10,Puerto Rico,"Residential area near Comerío along PR 156, Comerío",260,song,"Bird may have been seen, but distantly. Confidence about 85-90% in ID. Wide bandpass filtering between 4-11kHz to highlight low freq pigeon song. Also noise below 100Hz filtered, and signal amplified 10dB. Habitat is montane tropical moist forest.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC173690,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC173690 - Plain Pigeon - Patagioenas inornata.mp3,/173690/download
5,Plain Pigeon (Patagioenas inornata),0:10,Lance A. M. Benner,2013-11-03,07:55,Dominican Republic,"Rabo de Gato, Independencia, Dominican Republic",400,call,"Recorded along a riparian corridor with broadleaf forest.  
File modifications: cropped at both ends and amplified by a factor of four.
Equipment: Olympus LS-10 & Sennheiser MKE-400 microphone.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC157143,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC157143 - Plain Pigeon - Patagioenas inornata.mp3,/157143/download
6,Plain Pigeon (Patagioenas inornata),0:07,Richard C. Hoyer,2010-04-16,08:56,Jamaica,"Burnt Hil, Trelawny",550,song,[sono],ABCDE,XC48137,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC48137 - Plain Pigeon - Patagioenas inornata.mp3,/48137/download
7,Plain Pigeon (Patagioenas inornata),0:41,Laura Gooch,2011-02-14,07:04,Cuba,"Road north of Najasa, Camaguey",100,Call,[sono],ABCDE,XC72189,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC72189 - Plain Pigeon - Patagioenas inornata.mp3,/72189/download
0,Crested Quail-Dove (Geotrygon versicolor),0:57,Richard C. Hoyer,2010-04-13,17:29,Jamaica,"Silver Hill Gap, St. Andrew",1050,song,[sono],ABCDE,XC48120,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC48120 - Crested Quail-Dove - Geotrygon versicolor.mp3,/48120/download
0,Ruddy Quail-Dove (Geotrygon montana),0:34,Jacob Wijpkema,2022-01-29,07:31,Bolivia,"San Joaquin (near  Puerto Ustarez), Mamore, Departamento del Beni",140,song,"this recording without low cut filter in the microphone.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC702103,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC702103 - Ruddy Quail-Dove - Geotrygon montana.mp3,/702103/download
1,Ruddy Quail-Dove (Geotrygon montana),0:31,Jacob Wijpkema,2022-01-29,07:29,Bolivia,"San Joaquin (near  Puerto Ustarez), Mamore, Departamento del Beni",140,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC702102,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC702102 - Ruddy Quail-Dove - Geotrygon montana.mp3,/702102/download
2,Ruddy Quail-Dove (Geotrygon montana),0:55,Jacob Wijpkema,2021-12-10,10:21,Bolivia,"Apolo (near  Pogije), Franz Tamayo, Departamento de La Paz",1300,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC694075,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC694075 - Ruddy Quail-Dove - Geotrygon montana.mp3,/694075/download
3,Ruddy Quail-Dove (Geotrygon montana),0:40,Simon Elliott,2005-07-16,06:30,St Lucia,"Balata, Gros Islet",40,song,"bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC591007,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC591007 - Ruddy Quail-Dove - Geotrygon montana.mp3,/591007/download
4,Ruddy Quail-Dove (Geotrygon montana),0:34,Sergio Moya,2017-11-19,19:30,Argentina,"Concepción, Misiónes",220,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC393728,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC393728 - Ruddy Quail-Dove - Geotrygon montana.mp3,/393728/download
5,Ruddy Quail-Dove (Geotrygon montana montana),0:28,Olaf Jahn,1997-11-26,?,Ecuador,"Esmeraldas: Playa de Oro, village and vicinity, Río Santiago",100,song,"Moore et al. 2013: Bird Sounds of Ecuador DVD Edited
playback-used:no
  [also]
[sono]",ABCDE,XC261597,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC261597 - Ruddy Quail-Dove - Geotrygon montana montana.mp3,/261597/download
6,Ruddy Quail-Dove (Geotrygon montana),0:25,Luis Seko Pradier,2020-10-24,14:00,Argentina,"Cerro Cora, Candelaria, Misiónes",160,"life stage uncertain, sex uncertain, song","Desde el borde de selva a baja altura, oculta en el sotobosque.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC645510,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC645510 - Ruddy Quail-Dove - Geotrygon montana.mp3,/645510/download
7,Ruddy Quail-Dove (Geotrygon montana),0:22,Luis Seko Pradier,2020-10-17,17:00,Argentina,"Cerro Cora, Candelaria, Misiónes",160,"life stage uncertain, sex uncertain, song","A baja altura, oculta dentro de una capuera, borde de camino consolidado en cercanías a un arroyo (Villa Venecia).
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC645489,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC645489 - Ruddy Quail-Dove - Geotrygon montana.mp3,/645489/download
8,Ruddy Quail-Dove (Geotrygon montana montana),0:57,Bernabe Lopez-Lanus,2019-10-11,17:00,Argentina,"Forestal Belga (Cruce Caballero), San Pedro, Misiones",420,song,"BLL517-03  ""AVES ARGENTINAS/AOP Inventario Fauna""
 [sono]",ABCDE,XC549781,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC549781 - Ruddy Quail-Dove - Geotrygon montana montana.mp3,/549781/download
9,Ruddy Quail-Dove (Geotrygon montana montana),0:25,Bernabe Lopez-Lanus,2019-10-10,17:00,Argentina,"Forestal Belga (Cruce Caballero), San Pedro, Misiones",420,song,"BLL513-08  ""AVES ARGENTINAS/AOP Inventario Fauna""
 [sono]",ABCDE,XC549778,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC549778 - Ruddy Quail-Dove - Geotrygon montana montana.mp3,/549778/download
10,Ruddy Quail-Dove (Geotrygon montana),0:26,Steve Hampton,2020-01-22,07:00,Costa Rica,"Bahía Drake, Provincia de Puntarenas",20,call,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC542276,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC542276 - Ruddy Quail-Dove - Geotrygon montana.mp3,/542276/download
11,Ruddy Quail-Dove (Geotrygon montana),0:45,Sergio Córdoba-Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),2002-03-23,?,Colombia,"Vereda Carrizal, Sisavita",2400,,"IAvH-CSA-08811
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Sergio Cordoba Cordoba el Marzo 23 2002 en Vereda Carrizal, Sisavita en Norte de Santander a los 2400m msnm, Numero de Cassette por salida: 1
bird-seen:no
 [sono]",ABCDE,XC533018,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC533018 - Ruddy Quail-Dove - Geotrygon montana.mp3,/533018/download
12,Ruddy Quail-Dove (Geotrygon montana),1:30,Sergio Córdoba-Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),2002-03-23,?,Colombia,"Vereda Carrizal, Sisavita",2400,,"IAvH-CSA-08810
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Sergio Cordoba Cordoba el Marzo 23 2002 en Vereda Carrizal, Sisavita en Norte de Santander a los 2400m msnm, Numero de Cassette por salida: 1
bird-seen:no
 [sono]",ABCDE,XC533017,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC533017 - Ruddy Quail-Dove - Geotrygon montana.mp3,/533017/download
13,Ruddy Quail-Dove (Geotrygon montana),1:58,Sergio Córdoba-Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),2002-03-23,?,Colombia,"Vereda Carrizal, Sisavita",2400,,"IAvH-CSA-08809
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Sergio Cordoba Cordoba el Marzo 23 2002 en Vereda Carrizal, Sisavita en Norte de Santander a los 2400m msnm, Numero de Cassette por salida: 1
bird-seen:no
 [sono]",ABCDE,XC533016,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC533016 - Ruddy Quail-Dove - Geotrygon montana.mp3,/533016/download
14,Ruddy Quail-Dove (Geotrygon montana),1:30,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),2001-08-19,?,Colombia,"Reserva Bremen, bosque entresacado y secundarios",1750,,"IAvH-CSA-07259
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Mauricio Alvarez Rebolledo el Agosto 19 2001 en Reserva Bremen-Bosque entresacado y secundarios en Quindío
bird-seen:no
 [sono]",ABCDE,XC529533,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC529533 - Ruddy Quail-Dove - Geotrygon montana.mp3,/529533/download
15,Ruddy Quail-Dove (Geotrygon montana),2:07,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),2001-08-19,?,Colombia,"Reserva Bremen, bosque entresacado y secundarios",1750,,"IAvH-CSA-07258
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Mauricio Alvarez Rebolledo el Agosto 19 2001 en Reserva Bremen-Bosque entresacado y secundarios en Quindío
bird-seen:no
 [sono]",ABCDE,XC529532,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC529532 - Ruddy Quail-Dove - Geotrygon montana.mp3,/529532/download
16,Ruddy Quail-Dove (Geotrygon montana),0:25,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),2001-01-02,?,Colombia,"PNN Chiribiquete, cunaré- Amú",350,,"IAvH-CSA-06233
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Mauricio Alvarez Rebolledo el 2/1/2001 en PNN Chiribiquete-Cunaré- Amú en Caquetá a los 350 msnm
bird-seen:no
 [sono]",ABCDE,XC525550,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC525550 - Ruddy Quail-Dove - Geotrygon montana.mp3,/525550/download
17,Ruddy Quail-Dove (Geotrygon montana),0:26,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),2001-01-02,?,Colombia,"PNN Chiribiquete, cunaré- Amú",350,,"IAvH-CSA-06232
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Mauricio Alvarez Rebolledo el 2/1/2001 en PNN Chiribiquete-Cunaré- Amú en Caquetá a los 350 msnm
bird-seen:no
 [sono]",ABCDE,XC525549,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC525549 - Ruddy Quail-Dove - Geotrygon montana.mp3,/525549/download
18,Ruddy Quail-Dove (Geotrygon montana),0:20,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),2001-01-02,?,Colombia,"PNN Chiribiquete, cunaré- Amú",350,,"IAvH-CSA-06231
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Mauricio Alvarez Rebolledo el 2/1/2001 en PNN Chiribiquete-Cunaré- Amú en Caquetá a los 350 msnm
bird-seen:no
 [sono]",ABCDE,XC525548,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC525548 - Ruddy Quail-Dove - Geotrygon montana.mp3,/525548/download
19,Ruddy Quail-Dove (Geotrygon montana),0:18,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),2001-01-02,?,Colombia,"PNN Chiribiquete, cunaré- Amú",350,,"IAvH-CSA-06234
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Mauricio Alvarez Rebolledo el 2/1/2001 en PNN Chiribiquete-Cunaré- Amú en Caquetá a los 350 msnm
bird-seen:no
 [sono]",ABCDE,XC525363,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC525363 - Ruddy Quail-Dove - Geotrygon montana.mp3,/525363/download
20,Ruddy Quail-Dove (Geotrygon montana),0:23,Marcelo J Feliti,2019-12-24,17:30,Brazil,"Brotas, Brotas, São Paulo",650,"call, life stage uncertain, sex uncertain, song","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC521869,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC521869 - Ruddy Quail-Dove - Geotrygon montana.mp3,/521869/download
21,Ruddy Quail-Dove (Geotrygon montana),0:19,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),1999-01-06,?,Colombia,"PNN Chiribiquete, río Mesay Puerto abeja",350,,"IAvH-CSA-02716
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Mauricio Alvarez Rebolledo el 6/1/1999 en PNN Chiribiquete-Río Mesay Puerto abeja en Caquetá a los 350 msnm
bird-seen:no
 [sono]",ABCDE,XC520861,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC520861 - Ruddy Quail-Dove - Geotrygon montana.mp3,/520861/download
22,Ruddy Quail-Dove (Geotrygon montana),0:30,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),2000-01-04,?,Colombia,"PNN Chiribiquete, sararamano",350,,"IAvH-CSA-02158
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Mauricio Alvarez Rebolledo el 4/1/2000 en PNN Chiribiquete-Sararamano en Caquetá a los 350 msnm
bird-seen:no
 [sono]",ABCDE,XC519253,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC519253 - Ruddy Quail-Dove - Geotrygon montana.mp3,/519253/download
23,Ruddy Quail-Dove (Geotrygon montana),0:47,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),2000-01-04,?,Colombia,"PNN Chiribiquete, sararamano",350,,"IAvH-CSA-02097
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Mauricio Alvarez Rebolledo el 4/1/2000 en PNN Chiribiquete-Sararamano en Caquetá a los 350 msnm
bird-seen:no
 [sono]",ABCDE,XC519252,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC519252 - Ruddy Quail-Dove - Geotrygon montana.mp3,/519252/download
24,Ruddy Quail-Dove (Geotrygon montana),0:36,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),2000-01-04,?,Colombia,"PNN Chiribiquete, sararamano",350,,"IAvH-CSA-02096
To obtain a wav file of the original recording, please contact coleccionesbiologicas@humboldt.org.co
Grabado por Mauricio Alvarez Rebolledo el 4/1/2000 en PNN Chiribiquete-Sararamano en Caquetá a los 350 msnm
bird-seen:no
 [sono]",ABCDE,XC519251,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC519251 - Ruddy Quail-Dove - Geotrygon montana.mp3,/519251/download
25,Ruddy Quail-Dove (Geotrygon montana montana),0:23,Jerome Fischer,2019-05-09,07:00,Ecuador,"Sani Lodge, Sucumbíos",240,"song, wing whirr at end of cut","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC472233,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC472233 - Ruddy Quail-Dove - Geotrygon montana montana.mp3,/472233/download
26,Ruddy Quail-Dove (Geotrygon montana),0:20,Marcelo Jordani Feliti,2018-11-07,10:00,Brazil,"São Bernardo do Campo, São Bernardo do Campo, São Paulo",750,"call, song","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC441782,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC441782 - Ruddy Quail-Dove - Geotrygon montana.mp3,/441782/download
27,Ruddy Quail-Dove (Geotrygon montana),0:27,Fernando Igor de Godoy,2015-07-17,07:00,Brazil,"Monte Alegre, Telêmaco Borba, Paraná",850,song,"FCF01457 - Fonoteca Casa da Floresta.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC421191,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC421191 - Ruddy Quail-Dove - Geotrygon montana.mp3,/421191/download
28,Ruddy Quail-Dove (Geotrygon montana),0:39,Fernando Igor de Godoy,2015-04-08,07:00,Brazil,"Belmonte, Bahia",20,song,"FCF01408 - Fonoteca Casa da Floresta.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC421133,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC421133 - Ruddy Quail-Dove - Geotrygon montana.mp3,/421133/download
29,Ruddy Quail-Dove (Geotrygon montana),1:10,Fernando Igor de Godoy,2015-04-08,07:00,Brazil,"Belmonte, Bahia",20,song,"FCF01407 - Fonoteca Casa da Floresta.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC421132,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC421132 - Ruddy Quail-Dove - Geotrygon montana.mp3,/421132/download
30,Ruddy Quail-Dove (Geotrygon montana),1:09,Rodrigo Dela Rosa,2017-09-17,06:00,Brazil,"Parque Natural Augusto Rushi, São José dos Campos, SP",750,song,"bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC386690,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC386690 - Ruddy Quail-Dove - Geotrygon montana.mp3,/386690/download
31,Ruddy Quail-Dove (Geotrygon montana),0:39,Robson Silva e Silva,2016-12-22,05:30,Brazil,"Rio Preto, Itanhaém, São Paulo",20,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC349051,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC349051 - Ruddy Quail-Dove - Geotrygon montana.mp3,/349051/download
32,Ruddy Quail-Dove (Geotrygon montana),1:07,Roney Souza,2016-09-17,05:30,Brazil,"Macarani, Bahia",320,song,"bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC338074,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC338074 - Ruddy Quail-Dove - Geotrygon montana.mp3,/338074/download
