,filename
216620,XC497991 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216588,XC727972 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216480,XC428164 - Buff-throated Woodcreeper - Xiphorhynchus guttatus gracilirostris.mp3
216521,XC258305 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3
216537,XC232402 - Buff-throated Woodcreeper - Xiphorhynchus guttatus eytoni.mp3
216478,XC436772 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216729,XC130233 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216431,XC535986 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3
216718,XC191381 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216583,XC2297 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216519,XC264574 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3
216769,XC39845 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3
216454,XC672634 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216629,XC478227 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3
216586,XC1756 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216544,XC232395 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216464,XC504255 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatus.mp3
216528,XC249545 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3
216479,XC431950 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216633,XC456231 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216435,XC727461 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3
216494,XC397557 - Buff-throated Woodcreeper - Xiphorhynchus guttatus polystictus.mp3
216766,XC46150 - Buff-throated Woodcreeper - Xiphorhynchus guttatus polystictus.mp3
216721,XC158848 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216458,XC612240 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216783,XC195 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216700,XC232412 - Buff-throated Woodcreeper - Xiphorhynchus guttatus polystictus.mp3
216608,XC532934 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216580,XC6163 - Buff-throated Woodcreeper - Xiphorhynchus guttatus polystictus.mp3
216579,XC9632 - Buff-throated Woodcreeper - Xiphorhynchus guttatus vicinalis?.mp3
216651,XC370232 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216437,XC715906 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3
216514,XC269250 - Buff-throated Woodcreeper - Xiphorhynchus guttatus eytoni (ssp assumed from location).mp3
216752,XC69735 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216709,XC224370 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216593,XC708989 - Buff-throated Woodcreeper - Xiphorhynchus guttatus dorbignyanus.mp3
216628,XC479532 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216696,XC232416 - Buff-throated Woodcreeper - Xiphorhynchus guttatus polystictus.mp3
216550,XC141660 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216740,XC91429 - Buff-throated Woodcreeper - Xiphorhynchus guttatus eytoni.mp3
216609,XC532933 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216504,XC305391 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides (ssp assumed from location).mp3
216735,XC119617 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216482,XC428161 - Buff-throated Woodcreeper - Xiphorhynchus guttatus gracilirostris.mp3
216816,XC107984 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216659,XC316979 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3
216726,XC136067 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216654,XC342835 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216545,XC232387 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3
216662,XC288633 - Buff-throated Woodcreeper - Xiphorhynchus guttatus eytoni (ssp assumed from location).mp3
216832,XC251780 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3
216829,XC2564 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216701,XC232411 - Buff-throated Woodcreeper - Xiphorhynchus guttatus polystictus.mp3
216495,XC386484 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216825,XC20390 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
216612,XC532930 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3
157710,XC95314 - Green-backed Trogon - Trogon viridis.mp3
157644,XC511242 - Green-backed Trogon - Trogon viridis viridis.mp3
157756,XC74289 - Green-backed Trogon - Trogon viridis.mp3
157520,XC494137 - Green-backed Trogon - Trogon viridis.mp3
157522,XC487951 - Green-backed Trogon - Trogon viridis.mp3
157704,XC114299 - Green-backed Trogon - Trogon viridis.mp3
157757,XC69689 - Green-backed Trogon - Trogon viridis.mp3
157707,XC103462 - Green-backed Trogon - Trogon viridis.mp3
157559,XC257887 - Green-backed Trogon - Trogon viridis viridis.mp3
157578,XC127868 - Green-backed Trogon - Trogon viridis.mp3
157645,XC469842 - Green-backed Trogon - Trogon viridis.mp3
157621,XC521115 - Green-backed Trogon - Trogon viridis.mp3
157508,XC452911 - Green-backed Trogon - Trogon viridis.mp3
157614,XC521122 - Green-backed Trogon - Trogon viridis.mp3
157550,XC271995 - Green-backed Trogon - Trogon viridis.mp3
157720,XC69690 - Green-backed Trogon - Trogon viridis.mp3
157628,XC519381 - Green-backed Trogon - Trogon viridis.mp3
157582,XC70232 - Green-backed Trogon - Trogon viridis viridis.mp3
157500,XC525231 - Green-backed Trogon - Trogon viridis.mp3
157657,XC358892 - Green-backed Trogon - Trogon viridis.mp3
157499,XC525440 - Green-backed Trogon - Trogon viridis.mp3
157750,XC191560 - Green-backed Trogon - Trogon viridis.mp3
157724,XC64326 - Green-backed Trogon - Trogon viridis.mp3
157646,XC453563 - Green-backed Trogon - Trogon viridis.mp3
157763,XC617425 - Green-backed Trogon - Trogon viridis.mp3
157732,XC54696 - Green-backed Trogon - Trogon viridis viridis.mp3
157754,XC85467 - Green-backed Trogon - Trogon viridis.mp3
157676,XC233037 - Green-backed Trogon - Trogon viridis.mp3
157584,XC59381 - Green-backed Trogon - Trogon viridis viridis.mp3
157604,XC643356 - Green-backed Trogon - Trogon viridis.mp3
157538,XC356896 - Green-backed Trogon - Trogon viridis.mp3
157575,XC187548 - Green-backed Trogon - Trogon viridis.mp3
157674,XC239183 - Green-backed Trogon - Trogon viridis viridis.mp3
157643,XC511851 - Green-backed Trogon - Trogon viridis.mp3
157682,XC231768 - Green-backed Trogon - Trogon viridis.mp3
157568,XC233033 - Green-backed Trogon - Trogon viridis.mp3
523039,XC206956 - Pale-breasted Thrush - Turdus leucomelas.mp3
522961,XC540118 - Pale-breasted Thrush - Turdus leucomelas.mp3
523104,XC381410 - Pale-breasted Thrush - Turdus leucomelas.mp3
523123,XC119227 - Pale-breasted Thrush - Turdus leucomelas.mp3
522992,XC387386 - Pale-breasted Thrush - Turdus leucomelas.mp3
523060,XC82471 - Pale-breasted Thrush - Turdus leucomelas albiventer.mp3
522809,XC541925 - Pale-breasted Thrush - Turdus leucomelas.mp3
522912,XC188006 - Pale-breasted Thrush - Turdus leucomelas.mp3
522845,XC570351 - Pale-breasted Thrush - Turdus leucomelas.mp3
523024,XC231860 - Pale-breasted Thrush - Turdus leucomelas.mp3
522923,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3
523147,XC58363 - Pale-breasted Thrush - Turdus leucomelas leucomelas.mp3
522922,XC101816 - Pale-breasted Thrush - Turdus leucomelas albiventer.mp3
523007,XC272445 - Pale-breasted Thrush - Turdus leucomelas.mp3
522889,XC288631 - Pale-breasted Thrush - Turdus leucomelas albiventer (ssp assumed from location).mp3
523091,XC550114 - Pale-breasted Thrush - Turdus leucomelas.mp3
522834,XC638825 - Pale-breasted Thrush - Turdus leucomelas.mp3
522951,XC632547 - Pale-breasted Thrush - Turdus leucomelas leucomelas.mp3
523033,XC231851 - Pale-breasted Thrush - Turdus leucomelas.mp3
522908,XC212060 - Pale-breasted Thrush - Turdus leucomelas albiventer (ssp assumed from location).mp3
523041,XC174459 - Pale-breasted Thrush - Turdus leucomelas.mp3
523010,XC271954 - Pale-breasted Thrush - Turdus leucomelas.mp3
523114,XC254228 - Pale-breasted Thrush - Turdus leucomelas.mp3
522972,XC479996 - Pale-breasted Thrush - Turdus leucomelas.mp3
522965,XC508226 - Pale-breasted Thrush - Turdus leucomelas.mp3
522823,XC693263 - Pale-breasted Thrush - Turdus leucomelas.mp3
523138,XC6516 - Pale-breasted Thrush - Turdus leucomelas.mp3
522877,XC336077 - Pale-breasted Thrush - Turdus leucomelas.mp3
523113,XC263479 - Pale-breasted Thrush - Turdus leucomelas.mp3
523016,XC245500 - Pale-breasted Thrush - Turdus leucomelas.mp3
523071,XC46139 - Pale-breasted Thrush - Turdus leucomelas.mp3
523136,XC26149 - Pale-breasted Thrush - Turdus leucomelas.mp3
523028,XC231856 - Pale-breasted Thrush - Turdus leucomelas.mp3
523144,XC172911 - Pale-breasted Thrush - Turdus leucomelas leucomelas.mp3
523079,XC7716 - Pale-breasted Thrush - Turdus leucomelas.mp3
523101,XC387414 - Pale-breasted Thrush - Turdus leucomelas.mp3
523052,XC127636 - Pale-breasted Thrush - Turdus leucomelas.mp3
523002,XC279712 - Pale-breasted Thrush - Turdus leucomelas.mp3
522902,XC236252 - Pale-breasted Thrush - Turdus leucomelas albiventer.mp3
522847,XC520646 - Pale-breasted Thrush - Turdus leucomelas albiventer.mp3
523051,XC130873 - Pale-breasted Thrush - Turdus leucomelas.mp3
522947,XC708459 - Pale-breasted Thrush - Turdus leucomelas leucomelas.mp3
522868,XC393564 - Pale-breasted Thrush - Turdus leucomelas.mp3
522998,XC297410 - Pale-breasted Thrush - Turdus leucomelas.mp3
523131,XC73803 - Pale-breasted Thrush - Turdus leucomelas.mp3
626070,XC163962 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626357,XC145694 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626101,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3
626248,XC466616 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3
625999,XC335120 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626424,XC54282 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626486,XC1726 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
625987,XC345881 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
625922,XC506362 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
625945,XC445659 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626479,XC9766 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626252,XC457422 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626341,XC182800 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626255,XC440384 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626196,XC660093 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626532,XC91002 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626393,XC84813 - Rufous-collared Sparrow - Zonotrichia capensis subtorquata.mp3
626164,XC28662 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626262,XC425688 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626505,XC325862 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
625840,XC737969 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626540,XC89315 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626094,XC101564 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3
626297,XC299269 - Rufous-collared Sparrow - Zonotrichia capensis subtorquata.mp3
626234,XC519089 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626484,XC1974 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626240,XC513033 - Rufous-collared Sparrow - Zonotrichia capensis subtorquata.mp3
626607,XC12507 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626048,XC232614 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626514,XC153603 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626223,XC529590 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626565,XC28862 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626257,XC436611 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626211,XC553918 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626336,XC198022 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626023,XC261307 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3
625996,XC341396 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3
626012,XC299677 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626305,XC276682 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3
625901,XC576069 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626011,XC301004 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
625951,XC428761 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626512,XC212671 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626576,XC614642 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626068,XC195820 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
625970,XC380282 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626187,XC690486 - Rufous-collared Sparrow - Zonotrichia capensis australis.mp3
626053,XC232609 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626349,XC170814 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626122,XC59599 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
625870,XC678071 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626379,XC104667 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
625842,XC737010 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626404,XC66275 - Rufous-collared Sparrow - Zonotrichia capensis.mp3
626494,XC490687 - Rufous-collared Sparrow - Zonotrichia capensis matutina.mp3
189160,XC148385 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189116,XC238110 - Scaly-breasted Woodpecker - Celeus grammicus verreauxii.mp3
189158,XC148411 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189164,XC148393 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189148,XC220674 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189108,XC517867 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189137,XC87450 - Scaly-breasted Woodpecker - Celeus grammicus subcervinus.mp3
189084,XC629426 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189082,XC523 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189104,XC693388 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189115,XC270637 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189128,XC148376 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189081,XC12048 - Scaly-breasted Woodpecker - Celeus grammicus verreauxii.mp3
189072,XC452935 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189130,XC148374 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189138,XC87449 - Scaly-breasted Woodpecker - Celeus grammicus subcervinus.mp3
189126,XC148386 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189092,XC148415 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189105,XC676485 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189153,XC91204 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189114,XC270638 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189107,XC556197 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189074,XC446720 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189165,XC148384 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189140,XC73329 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189157,XC430771 - Scaly-breasted Woodpecker - Celeus grammicus verreauxii.mp3
189145,XC693389 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189111,XC316948 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189112,XC275823 - Scaly-breasted Woodpecker - Celeus grammicus verreauxii.mp3
189099,XC148040 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189085,XC504735 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189078,XC127279 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189098,XC148372 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189147,XC220675 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189095,XC148392 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189121,XC148408 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189161,XC148280 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189127,XC148380 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189096,XC148387 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189122,XC148407 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189132,XC148370 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189089,XC258046 - Scaly-breasted Woodpecker - Celeus grammicus verreauxii.mp3
189149,XC199745 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189135,XC129963 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189163,XC148405 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189079,XC26996 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189113,XC270639 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189156,XC444 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189090,XC258045 - Scaly-breasted Woodpecker - Celeus grammicus verreauxii.mp3
189142,XC63235 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189088,XC258047 - Scaly-breasted Woodpecker - Celeus grammicus verreauxii.mp3
189123,XC148406 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
189150,XC167340 - Scaly-breasted Woodpecker - Celeus grammicus.mp3
663221,XC130757 - Slate-throated Whitestart - Myioborus miniatus.mp3
663273,XC245540 - Slate-throated Whitestart - Myioborus miniatus.mp3
663099,XC101694 - Slate-throated Whitestart - Myioborus miniatus sanctaemartae.mp3
663272,XC245597 - Slate-throated Whitestart - Myioborus miniatus.mp3
663176,XC276225 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
663227,XC123724 - Slate-throated Whitestart - Myioborus miniatus.mp3
663188,XC242860 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
663278,XC226045 - Slate-throated Whitestart - Myioborus miniatus.mp3
663207,XC186588 - Slate-throated Whitestart - Myioborus miniatus.mp3
663156,XC354949 - Slate-throated Whitestart - Myioborus miniatus verticalis.mp3
663302,XC104474 - Slate-throated Whitestart - Myioborus miniatus.mp3
663183,XC251161 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
663309,XC94406 - Slate-throated Whitestart - Myioborus miniatus.mp3
663199,XC226037 - Slate-throated Whitestart - Myioborus miniatus.mp3
663288,XC44229 - Slate-throated Whitestart - Myioborus miniatus.mp3
663052,XC259493 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
663286,XC54318 - Slate-throated Whitestart - Myioborus miniatus.mp3
663147,XC494293 - Slate-throated Whitestart - Myioborus miniatus.mp3
663261,XC471395 - Slate-throated Whitestart - Myioborus miniatus.mp3
663047,XC259498 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
663054,XC259491 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
663097,XC102025 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
663306,XC104217 - Slate-throated Whitestart - Myioborus miniatus.mp3
663258,XC494292 - Slate-throated Whitestart - Myioborus miniatus.mp3
663126,XC533013 - Slate-throated Whitestart - Myioborus miniatus.mp3
663240,XC54316 - Slate-throated Whitestart - Myioborus miniatus.mp3
663023,XC468091 - Slate-throated Whitestart - Myioborus miniatus.mp3
663293,XC30838 - Slate-throated Whitestart - Myioborus miniatus.mp3
663046,XC261110 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
663017,XC513071 - Slate-throated Whitestart - Myioborus miniatus.mp3
663315,XC95954 - Slate-throated Whitestart - Myioborus miniatus.mp3
663077,XC226021 - Slate-throated Whitestart - Myioborus miniatus.mp3
663009,XC558291 - Slate-throated Whitestart - Myioborus miniatus.mp3
663200,XC226036 - Slate-throated Whitestart - Myioborus miniatus.mp3
663248,XC12427 - Slate-throated Whitestart - Myioborus miniatus.mp3
663051,XC259494 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
663092,XC136044 - Slate-throated Whitestart - Myioborus miniatus verticalis.mp3
663118,XC617910 - Slate-throated Whitestart - Myioborus miniatus subsimilis.mp3
663304,XC104324 - Slate-throated Whitestart - Myioborus miniatus.mp3
663238,XC58001 - Slate-throated Whitestart - Myioborus miniatus ballux?.mp3
663280,XC162072 - Slate-throated Whitestart - Myioborus miniatus.mp3
663249,XC12243 - Slate-throated Whitestart - Myioborus miniatus.mp3
663024,XC459598 - Slate-throated Whitestart - Myioborus miniatus.mp3
663206,XC195447 - Slate-throated Whitestart - Myioborus miniatus verticalis.mp3
663222,XC129898 - Slate-throated Whitestart - Myioborus miniatus.mp3
663059,XC237853 - Slate-throated Whitestart - Myioborus miniatus.mp3
663287,XC54317 - Slate-throated Whitestart - Myioborus miniatus.mp3
663053,XC259492 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
663279,XC180449 - Slate-throated Whitestart - Myioborus miniatus verticalis.mp3
663029,XC424148 - Slate-throated Whitestart - Myioborus miniatus.mp3
663169,XC293253 - Slate-throated Whitestart - Myioborus miniatus.mp3
663313,XC12639 - Slate-throated Whitestart - Myioborus miniatus.mp3
663274,XC241518 - Slate-throated Whitestart - Myioborus miniatus.mp3
663307,XC97542 - Slate-throated Whitestart - Myioborus miniatus.mp3
663145,XC494296 - Slate-throated Whitestart - Myioborus miniatus.mp3
663181,XC251164 - Slate-throated Whitestart - Myioborus miniatus verticalis.mp3
663260,XC493912 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
663291,XC43493 - Slate-throated Whitestart - Myioborus miniatus.mp3
663244,XC43322 - Slate-throated Whitestart - Myioborus miniatus.mp3
663224,XC128598 - Slate-throated Whitestart - Myioborus miniatus.mp3
663128,XC532570 - Slate-throated Whitestart - Myioborus miniatus.mp3
663182,XC251163 - Slate-throated Whitestart - Myioborus miniatus ballux.mp3
662995,XC693686 - Slate-throated Whitestart - Myioborus miniatus.mp3
663000,XC643212 - Slate-throated Whitestart - Myioborus miniatus.mp3
483399,XC276197 - Southern Nightingale-Wren - Microcerculus marginatus taeniatus.mp3
483314,XC143069 - Southern Nightingale-Wren - Microcerculus marginatus.mp3
483467,XC38700 - Southern Nightingale-Wren - Microcerculus marginatus.mp3
483521,XC92273 - Southern Nightingale-Wren - Microcerculus marginatus.mp3
483362,XC610977 - Southern Nightingale-Wren - Microcerculus marginatus.mp3
483262,XC468934 - Southern Nightingale-Wren - Microcerculus marginatus.mp3
483491,XC328008 - Southern Nightingale-Wren - Microcerculus marginatus marginatus.mp3
483247,XC663418 - Southern Nightingale-Wren - Microcerculus marginatus.mp3
483292,XC251125 - Southern Nightingale-Wren - Microcerculus marginatus taeniatus.mp3
