,Common name / Scientific,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type,Remarks,Actions,Cat.nr.,copyright,filename,download url,file_location
22,Common Wood Pigeon (Columba palumbus palumbus),3:00,Ruslan Mazuryk,2022-05-01,17:32,Ukraine,"Toky, Pidvolochys'kyi district, Ternopil's'ka oblast",?,"adult, song","bird-seen:yes
  [also]
[sono]",ABCDE,XC725376,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC725376 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/725376/download,./nips/data/XC725376 - Common Wood Pigeon - Columba palumbus palumbus.mp3
23,Common Wood Pigeon (Columba palumbus),0:09,Valentin Monnoy,2022-05-03,08:00,France,"Arrondissement de Grenoble (near  Jarrie), Isère, Auvergne-Rhône-Alpes",380,"adult, male, song","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC721678,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC721678 - Common Wood Pigeon - Columba palumbus.mp3,/721678/download,./nips/data/XC721678 - Common Wood Pigeon - Columba palumbus.mp3
24,Common Wood Pigeon (Columba palumbus),0:17,Anthony McGeehan,2022-05-03,11:00,United Kingdom,"Ards and North Down, Northern Ireland",50,"adult, sex uncertain, song","A classic recording of Woodpigeon going through its verses. Diagnostically, the first verse differs from all subsequent verses. Only the first verse has four notes; all others have five. However, the final three notes of the first verse are repeated in all other verses. The differences, therefore, occur in the FIRST TWO NOTES of the second and subsequent verses. Although the total number of verses is variable, there are usually no more than five (as in this clip).  
There are two differences between the first verse and the others.  In the second verse, the FIRST note is raised (it has a slight rising inflection). Also, the SECOND note is emphasised but the emphasis is to increase the volume, not  raise its inflection. At the very end, there is a one-off 'rogue' note that (as here) seems like some kind of a slightly rushed afterthought. Often this single note is not inserted at the end.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC721533,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC721533 - Common Wood Pigeon - Columba palumbus.mp3,/721533/download,./nips/data/XC721533 - Common Wood Pigeon - Columba palumbus.mp3
25,Common Wood Pigeon (Columba palumbus palumbus),3:10,Ruslan Mazuryk,2022-04-08,18:50,Ukraine,"Toky, Pidvolochys'kyi district, Ternopil's'ka oblast",?,song,"bird-seen:no
  [also]
[sono]",ABCDE,XC720864,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC720864 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/720864/download,./nips/data/XC720864 - Common Wood Pigeon - Columba palumbus palumbus.mp3
26,Common Wood Pigeon (Columba palumbus palumbus),1:06,Ruslan Mazuryk,2022-04-08,18:48,Ukraine,"Toky, Pidvolochys'kyi district, Ternopil's'ka oblast",?,song,"bird-seen:no
  [also]
[sono]",ABCDE,XC720862,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC720862 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/720862/download,./nips/data/XC720862 - Common Wood Pigeon - Columba palumbus palumbus.mp3
27,Common Wood Pigeon (Columba palumbus palumbus),2:00,Ruslan Mazuryk,2022-04-07,18:37,Ukraine,"Toky, Pidvolochys'kyi district, Ternopil's'ka oblast",?,song,"bird-seen:no
  [also]
[sono]",ABCDE,XC720861,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC720861 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/720861/download,./nips/data/XC720861 - Common Wood Pigeon - Columba palumbus palumbus.mp3
28,Common Wood Pigeon (Columba palumbus),0:39,Lars Edenius,2022-04-25,05:00,Sweden,"Ratuträsket, Robertsfors Ö, Robertsfors Municipality, Västerbotten County",20,song,"Looped track
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC719579,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC719579 - Common Wood Pigeon - Columba palumbus.mp3,/719579/download,./nips/data/XC719579 - Common Wood Pigeon - Columba palumbus.mp3
29,Common Wood Pigeon (Columba palumbus palumbus),2:41,Jarek Matusiak,2022-04-17,06:00,Poland,"Gmina Augustów (near  Augustów), Augustów County, Podlaskie Voivodeship",120,"male, song","[also]
[sono]",ABCDE,XC716978,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC716978 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/716978/download,./nips/data/XC716978 - Common Wood Pigeon - Columba palumbus palumbus.mp3
30,Common Wood Pigeon (Columba palumbus),0:25,Jacobo Ramil MIllarengo,2022-04-16,12:30,Spain,"Campos das Patiñas, San Miguel de Deiro, Vilanova, Pontevedra, Galicia",10,"Nesting call, adult, male","Low Pass Filter 1200 Hz.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC716757,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC716757 - Common Wood Pigeon - Columba palumbus.mp3,/716757/download,./nips/data/XC716757 - Common Wood Pigeon - Columba palumbus.mp3
31,Common Wood Pigeon (Columba palumbus),0:38,Guy Kirwan,2021-04-02,09:30,United Kingdom,"Norwich, Norfolk, England",10,"adult, call","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC716333,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC716333 - Common Wood Pigeon - Columba palumbus.mp3,/716333/download,./nips/data/XC716333 - Common Wood Pigeon - Columba palumbus.mp3
32,Common Wood Pigeon (Columba palumbus),0:51,Guy Kirwan,2020-04-09,15:30,United Kingdom,"Norwich, Norfolk, England",10,"adult, song","also wing noise as bird takes off
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC716295,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC716295 - Common Wood Pigeon - Columba palumbus.mp3,/716295/download,./nips/data/XC716295 - Common Wood Pigeon - Columba palumbus.mp3
33,Common Wood Pigeon (Columba palumbus),0:18,Jorge Leitão,2022-04-14,14:52,Netherlands,"Brederolaan, Eindhoven, Noord-Brabant",20,call,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC715716,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC715716 - Common Wood Pigeon - Columba palumbus.mp3,/715716/download,./nips/data/XC715716 - Common Wood Pigeon - Columba palumbus.mp3
34,Common Wood Pigeon (Columba palumbus),0:15,Marcin Urbański,2022-03-26,09:30,Poland,"Gmina Łabowa (near  Łomnica-Zdrój), nowosądecki, Lesser Poland Voivodeship",750,"adult, male, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC712671,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC712671 - Common Wood Pigeon - Columba palumbus.mp3,/712671/download,./nips/data/XC712671 - Common Wood Pigeon - Columba palumbus.mp3
35,Common Wood Pigeon (Columba palumbus),1:10,Stephan Risch,2022-03-15,10:12,Germany,"Berlin, Spandau Forest",30,"adult, call, male","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC711597,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC711597 - Common Wood Pigeon - Columba palumbus.mp3,/711597/download,./nips/data/XC711597 - Common Wood Pigeon - Columba palumbus.mp3
36,Common Wood Pigeon (Columba palumbus),0:11,Fiona Morton,2022-03-24,06:05,United Kingdom,"Riverside Cottages, Deanston",30,"adult, male, song","bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC710830,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC710830 - Common Wood Pigeon - Columba palumbus.mp3,/710830/download,./nips/data/XC710830 - Common Wood Pigeon - Columba palumbus.mp3
37,Common Wood Pigeon (Columba palumbus),0:23,Nelson Conceição,2022-03-23,11:55,Portugal,"Torre D'Aires,Luz de Tavira, Tavira, Faro District",0,song,"Recorder: Zoom H1n
Windscreen: Zoom WSU-1
Editing: Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB).
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC710571,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC710571 - Common Wood Pigeon - Columba palumbus.mp3,/710571/download,./nips/data/XC710571 - Common Wood Pigeon - Columba palumbus.mp3
38,Common Wood Pigeon (Columba palumbus),0:18,Jorge Leitão,2022-02-28,16:59,Portugal,"Estuário do Âncora, Caminha, Viana do Castelo",0,call,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC705328,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC705328 - Common Wood Pigeon - Columba palumbus.mp3,/705328/download,./nips/data/XC705328 - Common Wood Pigeon - Columba palumbus.mp3
39,Common Wood Pigeon (Columba palumbus),0:54,Vladimír Nemček,2022-03-01,10:15,Slovakia,"Bratislava, Bratislava IV, Bratislava Region",140,"adult, male, song","removed short parts of sounds (noise from the surround), alluvial forest, cold (0-+6 Degrees Celsius) but sunny
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC705168,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC705168 - Common Wood Pigeon - Columba palumbus.mp3,/705168/download,./nips/data/XC705168 - Common Wood Pigeon - Columba palumbus.mp3
40,Common Wood Pigeon (Columba palumbus),0:10,James Lidster,2021-04-27,01:30,Netherlands,"Driel, Ausemsstraat (near  Driel), Overbetuwe, Gelderland",10,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC704755,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC704755 - Common Wood Pigeon - Columba palumbus.mp3,/704755/download,./nips/data/XC704755 - Common Wood Pigeon - Columba palumbus.mp3
41,Common Wood Pigeon (Columba palumbus),0:30,Susanne Kuijpers,2022-02-26,07:30,Netherlands,"Berkel en Rodenrijs, Lansingerland, Zuid-Holland",0,"adult, call","bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC704520,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC704520 - Common Wood Pigeon - Columba palumbus.mp3,/704520/download,./nips/data/XC704520 - Common Wood Pigeon - Columba palumbus.mp3
42,Common Wood Pigeon (Columba palumbus),1:11,Jorge Leitão,2022-02-22,10:24,Portugal,"Praça das Fontainhas, São Vicente (near  Braga), Braga, Braga",190,call,"urban traffic noise
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC703840,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC703840 - Common Wood Pigeon - Columba palumbus.mp3,/703840/download,./nips/data/XC703840 - Common Wood Pigeon - Columba palumbus.mp3
43,Common Wood Pigeon (Columba palumbus),0:13,"Olivier SWIFT, Hélène CARTAUD",2021-04-19,18:56,France,"Arrondissement des Sables-d'Olonne (near  Notre-Dame-de-Monts), Vendée, Pays de la Loire, Entrée de la Petite Ramonière",0,song,"Tascam DR05X - Dodotronic parabole microphone HiSound - Stéréo (capteur AOM5024)
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC698381,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC698381 - Common Wood Pigeon - Columba palumbus.mp3,/698381/download,./nips/data/XC698381 - Common Wood Pigeon - Columba palumbus.mp3
44,Common Wood Pigeon (Columba palumbus),1:46,Romuald Mikusek,2020-06-22,08:30,Poland,"Stolowe Mts. National Park, Kłodzko County, Lower Silesian Voivodeship, Poland",700,"sex uncertain, song","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC692119,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC692119 - Common Wood Pigeon - Columba palumbus.mp3,/692119/download,./nips/data/XC692119 - Common Wood Pigeon - Columba palumbus.mp3
45,Common Wood Pigeon (Columba palumbus),1:10,Jorge Leitão,2019-04-21,06:27,Netherlands,"Brederolaan, Eindhoven, Noord-Brabant",20,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC679882,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC679882 - Common Wood Pigeon - Columba palumbus.mp3,/679882/download,./nips/data/XC679882 - Common Wood Pigeon - Columba palumbus.mp3
46,Common Wood Pigeon (Columba palumbus),0:13,Simon Elliott,2021-09-03,06:00,United Kingdom,"Hessay, York, England",20,"begging call, hatchling or nestling","close begging call 2 nestlings; mic placed 10cm from birds; unmodified recording
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC673236,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC673236 - Common Wood Pigeon - Columba palumbus.mp3,/673236/download,./nips/data/XC673236 - Common Wood Pigeon - Columba palumbus.mp3
47,Common Wood Pigeon (Columba palumbus),1:10,Stanislas Wroza,2021-09-05,07:00,France,"Marck, Pas-de-Calais, Hauts-de-France",0,"deep song, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC672922,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC672922 - Common Wood Pigeon - Columba palumbus.mp3,/672922/download,./nips/data/XC672922 - Common Wood Pigeon - Columba palumbus.mp3
48,Common Wood Pigeon (Columba palumbus),2:20,Alexander Henderson,2021-03-20,06:48,United Kingdom,"Eastwood, River Avon, Bristol, England",30,"Wing-beats, adult, song","Wood Pigeons singing in trees below heron's nests. Note the different timbre from the different individuals. This recording immediately follows XC669639.  
Recorded with home made SASS and Olympus LS-12. EQ adjusted below 150 Hz to remove a little background rumble.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC669640,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC669640 - Common Wood Pigeon - Columba palumbus.mp3,/669640/download,./nips/data/XC669640 - Common Wood Pigeon - Columba palumbus.mp3
49,Common Wood Pigeon (Columba palumbus),0:40,Ireneusz Oleksik,2021-08-08,19:50,Poland,"Gmina Krzemieniewo (near  Bojanice), leszczyński, Wielkopolskie",100,song,"Mixed  forest.  ME 66, Tascam DR-100 MK III.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC668677,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC668677 - Common Wood Pigeon - Columba palumbus.mp3,/668677/download,./nips/data/XC668677 - Common Wood Pigeon - Columba palumbus.mp3
50,Common Wood Pigeon (Columba palumbus),0:38,Manceau Lionel,2021-07-26,06:30,France,"Coudray, Mayenne, Pays de la Loire",70,song,[sono],ABCDE,XC665444,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC665444 - Common Wood Pigeon - Columba palumbus.mp3,/665444/download,./nips/data/XC665444 - Common Wood Pigeon - Columba palumbus.mp3
51,Common Wood Pigeon (Columba palumbus),0:19,Lars Edenius,2021-07-23,20:00,Sweden,"Överrödå, Umeå, Västerbottens län",280,"uncertain, wing beats","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC665254,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC665254 - Common Wood Pigeon - Columba palumbus.mp3,/665254/download,./nips/data/XC665254 - Common Wood Pigeon - Columba palumbus.mp3
52,Common Wood Pigeon (Columba palumbus palumbus),1:17,Jarek Matusiak,2021-07-19,19:00,Poland,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",90,"adult, male, song","[also]
[sono]",ABCDE,XC664084,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC664084 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/664084/download,./nips/data/XC664084 - Common Wood Pigeon - Columba palumbus palumbus.mp3
53,Common Wood Pigeon (Columba palumbus),0:42,Susanne Kuijpers,2021-07-08,06:18,Netherlands,"Berkel en Rodenrijs, Lansingerland, Zuid-Holland",0,"adult, male, song","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC662356,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC662356 - Common Wood Pigeon - Columba palumbus.mp3,/662356/download,./nips/data/XC662356 - Common Wood Pigeon - Columba palumbus.mp3
54,Common Wood Pigeon (Columba palumbus),0:14,Domagoj Tomičić,2021-06-04,14:00,Croatia,"Kupina, Općina Oprisavci, Brodsko-posavska županija",80,"adult, male, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC656200,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC656200 - Common Wood Pigeon - Columba palumbus.mp3,/656200/download,./nips/data/XC656200 - Common Wood Pigeon - Columba palumbus.mp3
55,Common Wood Pigeon (Columba palumbus palumbus),0:30,Albert Noorlander,2021-06-06,10:00,Netherlands,"Lexmond, Vijfheerenlanden, Utrecht",0,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC655097,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC655097 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/655097/download,./nips/data/XC655097 - Common Wood Pigeon - Columba palumbus palumbus.mp3
