,Unnamed: 0,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE
74,74,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,0.0,3.0,48000,Ramphastos tucanus,0.9922255277633668
75,75,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,3.0,3.0,48000,Ramphastos tucanus,0.9907407760620116
76,76,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,6.0,3.0,48000,Ramphastos tucanus,0.9951104521751404
77,77,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,9.0,3.0,48000,Ramphastos tucanus,0.9840280413627625
78,78,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,12.0,3.0,48000,Ramphastos tucanus,0.947654664516449
79,79,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,15.0,3.0,48000,Ramphastos tucanus,0.9467142820358276
80,80,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,18.0,3.0,48000,Ramphastos tucanus,0.9524681568145752
81,81,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,21.0,3.0,48000,Ramphastos tucanus,0.9453535676002502
82,82,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,24.0,3.0,48000,Ramphastos tucanus,0.950287401676178
83,83,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,27.0,3.0,48000,Ramphastos tucanus,0.980866312980652
84,84,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,30.0,3.0,48000,Ramphastos tucanus,0.998977780342102
85,85,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,33.0,3.0,48000,Ramphastos tucanus,0.9957541227340698
86,86,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,36.0,3.0,48000,Ramphastos tucanus,0.9287012219429016
87,87,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,39.0,3.0,48000,Ramphastos tucanus,0.9813292026519777
88,88,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,42.0,3.0,48000,Ramphastos tucanus,0.7920799255371094
89,89,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,45.0,3.0,48000,Ramphastos tucanus,0.983613133430481
90,90,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,48.0,3.0,48000,Ramphastos tucanus,0.9971976280212402
91,91,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,51.0,3.0,48000,Ramphastos tucanus,0.9652696251869202
92,92,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,54.0,3.0,48000,Ramphastos tucanus,0.9695967435836792
93,93,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,57.0,3.0,48000,Ramphastos tucanus,0.9509785175323486
94,94,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,60.0,3.0,48000,Ramphastos tucanus,0.9780808091163636
95,95,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,63.0,3.0,48000,Ramphastos tucanus,0.9706535339355468
96,96,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,66.0,3.0,48000,Ramphastos tucanus,0.906017541885376
97,97,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,69.0,3.0,48000,Ramphastos tucanus,0.9950276017189026
98,98,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,72.0,3.0,48000,Ramphastos tucanus,0.9880808591842652
99,99,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,75.0,3.0,48000,Ramphastos tucanus,0.9925090670585632
100,100,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,78.0,3.0,48000,Ramphastos tucanus,0.9929838180541992
101,101,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,81.0,3.0,48000,Ramphastos tucanus,0.9950281977653505
102,102,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,84.0,3.0,48000,Ramphastos tucanus,0.995612382888794
103,103,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,87.0,3.0,48000,Ramphastos tucanus,0.99709951877594
104,104,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,90.0,3.0,48000,Ramphastos tucanus,0.9944721460342408
105,105,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,93.0,3.0,48000,Ramphastos tucanus,0.9725483655929564
106,106,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,96.0,3.0,48000,Ramphastos tucanus,0.9903590083122252
107,107,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,99.0,3.0,48000,Ramphastos tucanus,0.9674832224845886
108,108,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,102.0,3.0,48000,Ramphastos tucanus,0.9885346293449402
110,110,./../all_10_species/,XC101694 - Slate-throated Whitestart - Myioborus miniatus sanctaemartae.mp3,23.013895833333333,0,3.0,3.0,48000,Myioborus miniatus,0.9581961631774902
115,115,./../all_10_species/,XC101694 - Slate-throated Whitestart - Myioborus miniatus sanctaemartae.mp3,23.013895833333333,0,18.0,3.0,48000,Myioborus miniatus,0.8795861005783081
116,116,./../all_10_species/,XC101694 - Slate-throated Whitestart - Myioborus miniatus sanctaemartae.mp3,23.013895833333333,0,21.0,3.0,48000,Myioborus miniatus,0.9515561461448668
150,150,./../all_10_species/,XC38700 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,24.058791666666668,0,0.0,3.0,48000,Microcerculus marginatus,0.9758198261260986
151,151,./../all_10_species/,XC38700 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,24.058791666666668,0,3.0,3.0,48000,Microcerculus marginatus,0.91765034198761
155,155,./../all_10_species/,XC38700 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,24.058791666666668,0,15.0,3.0,48000,Microcerculus marginatus,0.9846649765968324
156,156,./../all_10_species/,XC38700 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,24.058791666666668,0,18.0,3.0,48000,Microcerculus marginatus,0.968100905418396
158,158,./../all_10_species/,XC487951 - Green-backed Trogon - Trogon viridis.mp3,7.7845,0,0.0,3.0,48000,Taraba major,0.5284508466720581
160,160,./../all_10_species/,XC487951 - Green-backed Trogon - Trogon viridis.mp3,7.7845,0,6.0,3.0,48000,Rhinocrypta lanceolata,0.7151947021484375
161,161,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,0.0,3.0,48000,Xiphorhynchus guttatus,0.7988764047622681
163,163,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,6.0,3.0,48000,Pyrilia barrabandi,0.945300817489624
165,165,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,12.0,3.0,48000,Xiphorhynchus guttatus,0.5920693874359131
166,166,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,15.0,3.0,48000,Xiphorhynchus guttatus,0.903182566165924
167,167,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,18.0,3.0,48000,Pyrilia barrabandi,0.970837950706482
169,169,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,24.0,3.0,48000,Pyrilia barrabandi,0.9531306624412536
171,171,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,30.0,3.0,48000,Xiphorhynchus guttatus,0.7250955700874329
172,172,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,33.0,3.0,48000,Xiphorhynchus guttatus,0.8041902184486389
176,176,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,45.0,3.0,48000,Pyrilia barrabandi,0.6417599320411682
177,177,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,48.0,3.0,48000,Pyrilia barrabandi,0.6668604016304016
178,178,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,51.0,3.0,48000,Xiphorhynchus guttatus,0.8273253440856934
180,180,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,57.0,3.0,48000,Pyrilia barrabandi,0.972971498966217
185,185,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,72.0,3.0,48000,Pyrilia barrabandi,0.5907686948776245
186,186,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,75.0,3.0,48000,Xiphorhynchus guttatus,0.9588562846183776
188,188,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,81.0,3.0,48000,Pyrilia barrabandi,0.7706606984138489
191,191,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,90.0,3.0,48000,Xiphorhynchus guttatus,0.7074708938598633
193,193,./../all_10_species/,XC236250 - Pale-breasted Thrush - Turdus leucomelas albiventer.mp3,44.930625,0,0.0,3.0,48000,Turdus leucomelas,0.7084624767303467
208,208,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,0.0,3.0,48000,Myiozetetes luteiventris,0.9679195284843444
209,209,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,3.0,3.0,48000,Myiozetetes luteiventris,0.8936929702758789
212,212,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,12.0,3.0,48000,Myiozetetes luteiventris,0.5366682410240173
213,213,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,15.0,3.0,48000,Myiozetetes luteiventris,0.6451917886734009
215,215,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,21.0,3.0,48000,Myiozetetes luteiventris,0.7538712024688721
216,216,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,24.0,3.0,48000,Myiozetetes luteiventris,0.9298517107963562
217,217,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,27.0,3.0,48000,Myiozetetes luteiventris,0.5213478207588196
219,219,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,33.0,3.0,48000,Myiozetetes luteiventris,0.7938194870948792
220,220,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,36.0,3.0,48000,Myiozetetes luteiventris,0.7624915242195129
224,224,./../all_10_species/,XC43491 - Slate-throated Whitestart - Myioborus miniatus.mp3,9.978791666666666,0,6.0,3.0,48000,Myioborus miniatus,0.8254859447479248
225,225,./../all_10_species/,XC212057 - Pale-breasted Thrush - Turdus leucomelas.mp3,16.1175625,0,0.0,3.0,48000,Turdus leucomelas,0.9388299584388732
227,227,./../all_10_species/,XC212057 - Pale-breasted Thrush - Turdus leucomelas.mp3,16.1175625,0,6.0,3.0,48000,Turdus leucomelas,0.5201215744018555
228,228,./../all_10_species/,XC212057 - Pale-breasted Thrush - Turdus leucomelas.mp3,16.1175625,0,9.0,3.0,48000,Turdus leucomelas,0.5156349539756775
230,230,./../all_10_species/,XC232389 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3,37.468125,0,0.0,3.0,48000,Xiphorhynchus guttatus,0.8530005812644958
231,231,./../all_10_species/,XC232389 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3,37.468125,0,3.0,3.0,48000,Xiphorhynchus guttatus,0.8930575847625732
240,240,./../all_10_species/,XC232389 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3,37.468125,0,30.0,3.0,48000,Xiphorhynchus guttatus,0.9557924270629884
241,241,./../all_10_species/,XC232389 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3,37.468125,0,33.0,3.0,48000,Xiphorhynchus guttatus,0.7541542649269104
252,252,./../all_10_species/,XC529273 - Rufous-collared Sparrow - Zonotrichia capensis.mp3,44.56491666666667,0,30.0,3.0,48000,Zonotrichia capensis,0.8120937943458557
254,254,./../all_10_species/,XC529273 - Rufous-collared Sparrow - Zonotrichia capensis.mp3,44.56491666666667,0,36.0,3.0,48000,Zonotrichia capensis,0.8724244236946106
258,258,./../all_10_species/,XC404597 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,35.54997916666667,0,3.0,3.0,48000,Xiphorhynchus guttatus,0.5659980773925781
261,261,./../all_10_species/,XC404597 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,35.54997916666667,0,12.0,3.0,48000,Xiphorhynchus guttatus,0.7636135816574097
266,266,./../all_10_species/,XC404597 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,35.54997916666667,0,27.0,3.0,48000,Xiphorhynchus guttatus,0.9225524663925172
270,270,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,3.0,3.0,48000,Microcerculus marginatus,0.6356686949729919
272,272,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,9.0,3.0,48000,Microcerculus marginatus,0.947714865207672
275,275,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,18.0,3.0,48000,Microcerculus marginatus,0.8952156901359558
276,276,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,21.0,3.0,48000,Microcerculus marginatus,0.939503014087677
277,277,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,24.0,3.0,48000,Microcerculus marginatus,0.988941252231598
278,278,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,27.0,3.0,48000,Microcerculus marginatus,0.9954771399497986
281,281,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,36.0,3.0,48000,Microcerculus marginatus,0.9951319694519044
282,282,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,39.0,3.0,48000,Microcerculus marginatus,0.6384207010269165
284,284,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,45.0,3.0,48000,Microcerculus marginatus,0.985300600528717
286,286,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,51.0,3.0,48000,Microcerculus marginatus,0.5725281238555908
287,287,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,54.0,3.0,48000,Microcerculus marginatus,0.964709460735321
310,310,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,3.0,3.0,48000,Ramphastos tucanus,0.9992740750312804
311,311,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,6.0,3.0,48000,Ramphastos tucanus,0.9923887848854064
312,312,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,9.0,3.0,48000,Ramphastos tucanus,0.999520778656006
313,313,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,12.0,3.0,48000,Ramphastos tucanus,0.9988377690315248
314,314,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,15.0,3.0,48000,Ramphastos tucanus,0.9991148114204408
315,315,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,18.0,3.0,48000,Ramphastos tucanus,0.9994552731513976
316,316,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,21.0,3.0,48000,Ramphastos tucanus,0.9997135996818542
317,317,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,24.0,3.0,48000,Ramphastos tucanus,0.9996269941329956
318,318,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,27.0,3.0,48000,Ramphastos tucanus,0.9995157718658448
319,319,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,30.0,3.0,48000,Ramphastos tucanus,0.9989118576049804
320,320,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,33.0,3.0,48000,Ramphastos tucanus,0.9996514320373536
321,321,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,36.0,3.0,48000,Ramphastos tucanus,0.9995900988578796
322,322,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,39.0,3.0,48000,Ramphastos tucanus,0.9995250701904296
323,323,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,42.0,3.0,48000,Ramphastos tucanus,0.997647225856781
324,324,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,45.0,3.0,48000,Ramphastos tucanus,0.9994603991508484
325,325,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,48.0,3.0,48000,Ramphastos tucanus,0.99088317155838
326,326,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,0.0,3.0,48000,Xiphorhynchus guttatus,0.9748743772506714
328,328,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,6.0,3.0,48000,Xiphorhynchus guttatus,0.9769597053527832
329,329,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,9.0,3.0,48000,Xiphorhynchus guttatus,0.9815068244934082
330,330,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,12.0,3.0,48000,Xiphorhynchus guttatus,0.974117636680603
332,332,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,18.0,3.0,48000,Xiphorhynchus guttatus,0.9694259166717528
333,333,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,21.0,3.0,48000,Xiphorhynchus guttatus,0.9791046977043152
334,334,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,24.0,3.0,48000,Xiphorhynchus guttatus,0.8306549787521362
335,335,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,27.0,3.0,48000,Xiphorhynchus guttatus,0.9060842990875244
336,336,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,30.0,3.0,48000,Xiphorhynchus guttatus,0.5884796380996704
337,337,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,33.0,3.0,48000,Xiphorhynchus guttatus,0.9773089289665222
338,338,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,36.0,3.0,48000,Xiphorhynchus guttatus,0.8797284364700317
340,340,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,42.0,3.0,48000,Xiphorhynchus guttatus,0.9804317355155944
342,342,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,48.0,3.0,48000,Xiphorhynchus guttatus,0.9388986825942992
343,343,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,51.0,3.0,48000,Xiphorhynchus guttatus,0.9824761152267456
346,346,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,60.0,3.0,48000,Xiphorhynchus guttatus,0.6576664447784424
347,347,./../all_10_species/,XC64377 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,16.4519375,0,0.0,3.0,48000,Xiphorhynchus guttatus,0.9800212979316713
348,348,./../all_10_species/,XC64377 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,16.4519375,0,3.0,3.0,48000,Xiphorhynchus guttatus,0.9425647854804992
350,350,./../all_10_species/,XC64377 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,16.4519375,0,9.0,3.0,48000,Xiphorhynchus guttatus,0.8305668234825134
351,351,./../all_10_species/,XC64377 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,16.4519375,0,12.0,3.0,48000,Xiphorhynchus guttatus,0.9603650569915771
354,354,./../all_10_species/,XC170038 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,17.266958333333335,0,0.0,3.0,48000,Tolmomyias sulphurescens,0.6292619705200195
355,355,./../all_10_species/,XC170038 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,17.266958333333335,0,3.0,3.0,48000,Tolmomyias sulphurescens,0.6431974172592163
356,356,./../all_10_species/,XC170038 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,17.266958333333335,0,6.0,3.0,48000,Tolmomyias sulphurescens,0.6398633122444153
357,357,./../all_10_species/,XC170038 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,17.266958333333335,0,9.0,3.0,48000,Tolmomyias sulphurescens,0.6524223685264587
360,360,./../all_10_species/,XC84809 - Rufous-collared Sparrow - Zonotrichia capensis subtorquata.mp3,18.5991875,0,0.0,3.0,48000,Zonotrichia capensis,0.7832052111625671
363,363,./../all_10_species/,XC84809 - Rufous-collared Sparrow - Zonotrichia capensis subtorquata.mp3,18.5991875,0,9.0,3.0,48000,Zonotrichia capensis,0.670464813709259
365,365,./../all_10_species/,XC84809 - Rufous-collared Sparrow - Zonotrichia capensis subtorquata.mp3,18.5991875,0,15.0,3.0,48000,Zonotrichia capensis,0.812414288520813
366,366,./../all_10_species/,XC191768 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,76.61714583333334,0,0.0,3.0,48000,Xiphorhynchus guttatus,0.6479954123497009
