,Unnamed: 0,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE
11,11,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,33.0,3.0,48000,Capito wallacei,0.0426284447312355
12,12,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,36.0,3.0,48000,Human,0.0
13,13,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,39.0,3.0,48000,Hypocnemis peruviana,0.0066934563219547
14,14,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,42.0,3.0,48000,Capito wallacei,0.1631723046302795
15,15,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,45.0,3.0,48000,Ptilinopus occipitalis,0.0058441786095499
16,16,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,48.0,3.0,48000,Ptilinopus occipitalis,0.0136003950610756
17,17,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,51.0,3.0,48000,Capito wallacei,0.0579156652092933
18,18,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,54.0,3.0,48000,Hypocnemis peruviana,0.0143039152026176
19,19,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,57.0,3.0,48000,Hypocnemis peruviana,0.0055156601592898
20,20,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,0.0,3.0,48000,Lophostrix cristata,0.0107342265546321
21,21,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,3.0,3.0,48000,Hypocnemis peruviana,0.0055903517641127
22,22,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,6.0,3.0,48000,Lophostrix cristata,0.0130891278386116
23,23,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,9.0,3.0,48000,Lophostrix cristata,0.0233032871037721
24,24,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,12.0,3.0,48000,Sicalis auriventris,0.0073853018693625
25,25,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,15.0,3.0,48000,Nyctiphrynus ocellatus,0.0338509976863861
26,26,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,18.0,3.0,48000,Micrastur mirandollei,0.0171227790415287
27,27,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,21.0,3.0,48000,Micrastur mirandollei,0.0083524361252784
28,28,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,24.0,3.0,48000,Sicalis auriventris,0.0112099675461649
29,29,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,27.0,3.0,48000,Yungipicus maculatus,0.0054325158707797
30,30,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,30.0,3.0,48000,Hylexetastes stresemanni,0.0077739455737173
31,31,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,33.0,3.0,48000,Megascops watsonii,0.0180806722491979
32,32,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,36.0,3.0,48000,Megascops watsonii,0.0969436913728714
33,33,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,39.0,3.0,48000,Yungipicus maculatus,0.005887059494853
34,34,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,42.0,3.0,48000,Sicalis auriventris,0.0081557855010032
35,35,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,45.0,3.0,48000,Sicalis auriventris,0.0088788336142897
36,36,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,48.0,3.0,48000,Hypocnemis peruviana,0.0050114043988287
37,37,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,51.0,3.0,48000,Yungipicus maculatus,0.0063042836263775
38,38,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,54.0,3.0,48000,Lophostrix cristata,0.0073161260224878
39,39,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_071000.WAV,60.0,0,57.0,3.0,48000,Cephalopterus penduliger,0.0061087561771273
40,40,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,0.0,3.0,48000,Lathrotriccus euleri,0.0446658283472061
41,41,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,3.0,3.0,48000,Perissocephalus tricolor,0.0177178010344505
42,42,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,6.0,3.0,48000,Corythopis torquatus,0.028181130066514
43,43,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,9.0,3.0,48000,Criniger chloronotus,0.0135397380217909
44,44,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,12.0,3.0,48000,Sporophila hypochroma,0.0388628616929054
45,45,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,15.0,3.0,48000,Lathrotriccus euleri,0.0337474234402179
46,46,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,18.0,3.0,48000,Frederickena viridis,0.0375846996903419
47,47,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,21.0,3.0,48000,Perissocephalus tricolor,0.0152188837528228
48,48,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,24.0,3.0,48000,Perissocephalus tricolor,0.0741785988211631
49,49,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,27.0,3.0,48000,Ramphastos vitellinus,0.0848474502563476
50,50,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,30.0,3.0,48000,Ramphastos vitellinus,0.0100009711459279
51,51,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,33.0,3.0,48000,Zosterops atriceps,0.0368226990103721
52,52,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,36.0,3.0,48000,Centropus goliath,0.0508335120975971
53,53,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,39.0,3.0,48000,Centropus goliath,0.0512471087276935
54,54,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,42.0,3.0,48000,Perissocephalus tricolor,0.0487905032932758
55,55,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,45.0,3.0,48000,Perissocephalus tricolor,0.0275453589856624
56,56,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,48.0,3.0,48000,Criniger barbatus,0.0152058489620685
57,57,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,51.0,3.0,48000,Perissocephalus tricolor,0.0146264685317873
58,58,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,54.0,3.0,48000,Ramphastos vitellinus,0.0238527636975049
59,59,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,60.0,0,57.0,3.0,48000,Turdus lawrencii,0.0092244194820523
60,60,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,0.0,3.0,48000,Muscisaxicola maculirostris,0.0050416095182299
61,61,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,3.0,3.0,48000,Sicalis auriventris,0.0058405781164765
62,62,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,6.0,3.0,48000,Sicalis auriventris,0.0053304508328437
63,63,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,9.0,3.0,48000,Muscisaxicola maculirostris,0.0075261932797729
64,64,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,12.0,3.0,48000,Sicalis auriventris,0.0055128466337919
65,65,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,15.0,3.0,48000,Cyornis olivaceus,0.0065130074508488
66,66,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,18.0,3.0,48000,Brotogeris sanctithomae,0.0511109456419944
67,67,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,21.0,3.0,48000,Brotogeris chiriri,0.5351850390434265
68,68,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,24.0,3.0,48000,Psittacula eupatria,0.0232083853334188
69,69,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,27.0,3.0,48000,Sicalis auriventris,0.0049803862348198
70,70,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,30.0,3.0,48000,Lanius cabanisi,0.0104176942259073
71,71,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,33.0,3.0,48000,Muscisaxicola maculirostris,0.0062036467716097
72,72,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,36.0,3.0,48000,Cyanoptila cyanomelana,0.0059735793620347
73,73,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,39.0,3.0,48000,Harpactes erythrocephalus,0.013843297958374
74,74,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,42.0,3.0,48000,Cyornis olivaceus,0.0117331435903906
75,75,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,45.0,3.0,48000,Harpactes erythrocephalus,0.0072214021347463
76,76,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,48.0,3.0,48000,Ninox japonica,0.0101344352588057
77,77,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,51.0,3.0,48000,Locustella luscinioides,0.0600062310695648
78,78,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,54.0,3.0,48000,Spizella pallida,0.0088623287156224
79,79,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,60.0,0,57.0,3.0,48000,Ninox japonica,0.0093089966103434
80,80,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,0.0,3.0,48000,Apus caffer,0.0197325218468904
81,81,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,3.0,3.0,48000,Ptilinopus occipitalis,0.0164390541613101
82,82,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,6.0,3.0,48000,Ptilinopus occipitalis,0.0279450509697198
83,83,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,9.0,3.0,48000,Nyctibius leucopterus,0.0525130927562713
84,84,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,12.0,3.0,48000,Parotia sefilata,0.01188984233886
85,85,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,15.0,3.0,48000,Chlorostilbon gibsoni,0.0180613230913877
86,86,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,18.0,3.0,48000,Micrastur mirandollei,0.008375727571547
87,87,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,21.0,3.0,48000,Sicalis auriventris,0.0069676707498729
88,88,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,24.0,3.0,48000,Trogon elegans,0.086989477276802
89,89,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,27.0,3.0,48000,Penelope marail,0.1473302245140075
90,90,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,30.0,3.0,48000,Buceros hydrocorax,0.5199402570724487
91,91,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,33.0,3.0,48000,Penelope marail,0.3936320543289184
92,92,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,36.0,3.0,48000,Penelope marail,0.1365620195865631
93,93,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,39.0,3.0,48000,Penelope marail,0.3684069514274597
94,94,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,42.0,3.0,48000,Penelope marail,0.4543839693069458
95,95,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,45.0,3.0,48000,Penelope marail,0.3610216379165649
96,96,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,48.0,3.0,48000,Ninox philippensis,0.1870623230934143
97,97,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,51.0,3.0,48000,Ninox philippensis,0.308730810880661
98,98,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,54.0,3.0,48000,Ninox philippensis,0.4352328777313232
99,99,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190627_073000.WAV,60.0,0,57.0,3.0,48000,Batrachostomus septimus,0.0114806424826383
100,100,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,0.0,3.0,48000,Ptilinopus occipitalis,0.0061724567785859
101,101,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,3.0,3.0,48000,Hypocnemis peruviana,0.0056857424788177
102,102,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,6.0,3.0,48000,Pitta maxima,0.0335774756968021
103,103,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,9.0,3.0,48000,Otus cyprius,0.0804532170295715
104,104,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,12.0,3.0,48000,Selasphorus platycercus,0.0081312973052263
105,105,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,15.0,3.0,48000,Sicalis auriventris,0.0046016871929168
106,106,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,18.0,3.0,48000,Harpactes erythrocephalus,0.0079542584717273
107,107,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,21.0,3.0,48000,Glaucidium gnoma,0.0417383015155792
108,108,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,24.0,3.0,48000,Locustella naevia,0.0059308558702468
109,109,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,27.0,3.0,48000,Ptilinopus occipitalis,0.00742003088817
110,110,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,30.0,3.0,48000,Sicalis auriventris,0.0060203419998288
111,111,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,33.0,3.0,48000,Centronyx bairdii,0.0054596345871686
112,112,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,36.0,3.0,48000,Muscisaxicola maculirostris,0.0195682402700185
113,113,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,39.0,3.0,48000,Ptilinopus occipitalis,0.0082897990942001
114,114,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,42.0,3.0,48000,Ptilinopus occipitalis,0.0069595300592482
115,115,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,45.0,3.0,48000,Turdoides earlei,0.0200502183288335
116,116,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,48.0,3.0,48000,Ptilinopus occipitalis,0.0170462131500244
117,117,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,51.0,3.0,48000,Ptilinopus occipitalis,0.0062670861370861
118,118,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,54.0,3.0,48000,Locustella naevia,0.0374892242252826
119,119,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_164000.WAV,60.0,0,57.0,3.0,48000,Locustella naevia,0.0051695355214178
120,120,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,0.0,3.0,48000,Pseudocolopteryx acutipennis,0.0182425025850534
121,121,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,3.0,3.0,48000,Muscisaxicola maculirostris,0.0063426443375647
122,122,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,6.0,3.0,48000,Nothura darwinii,0.0051756999455392
123,123,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,9.0,3.0,48000,Nothura darwinii,0.0060476111248135
124,124,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,12.0,3.0,48000,Nothura darwinii,0.005743505898863
125,125,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,15.0,3.0,48000,Nothura darwinii,0.005697067361325
126,126,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,18.0,3.0,48000,Oreophasis derbianus,0.062474351376295
127,127,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,21.0,3.0,48000,Turdoides earlei,0.0349005572497844
128,128,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,24.0,3.0,48000,Batrachostomus septimus,0.0099435187876224
129,129,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,27.0,3.0,48000,Ducula basilica,0.014377855695784
130,130,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,30.0,3.0,48000,Turdoides earlei,0.0083369724452495
131,131,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,33.0,3.0,48000,Muscisaxicola maculirostris,0.0080131804570555
132,132,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,36.0,3.0,48000,Sicalis auriventris,0.0047921435907483
133,133,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,39.0,3.0,48000,Nothura darwinii,0.0077032977715134
134,134,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,42.0,3.0,48000,Muscisaxicola maculirostris,0.0059455907903611
135,135,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,45.0,3.0,48000,Nothura darwinii,0.0042927181348204
136,136,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,48.0,3.0,48000,Malurus leucopterus,0.0053934436291456
137,137,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,51.0,3.0,48000,Muscisaxicola maculirostris,0.0052165640518069
138,138,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,54.0,3.0,48000,Sicalis auriventris,0.0068332715891301
139,139,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190624_154000.WAV,60.0,0,57.0,3.0,48000,Sicalis auriventris,0.0043819434940814
140,140,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,0.0,3.0,48000,Ptilinopus occipitalis,0.0986494719982147
141,141,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,3.0,3.0,48000,Phlogophilus hemileucurus,0.0732411593198776
142,142,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,6.0,3.0,48000,Ptilinopus occipitalis,0.0856646001338958
143,143,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,9.0,3.0,48000,Ptilinopus occipitalis,0.1799790114164352
144,144,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,12.0,3.0,48000,Ptilinopus occipitalis,0.1911655366420745
145,145,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,15.0,3.0,48000,Phlogophilus hemileucurus,0.0390435345470905
146,146,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,18.0,3.0,48000,Ptilinopus occipitalis,0.0542380400002002
147,147,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,21.0,3.0,48000,Otus rufescens,0.0271683763712644
148,148,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,24.0,3.0,48000,Phlogophilus hemileucurus,0.0644008591771125
149,149,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,27.0,3.0,48000,Phlogophilus hemileucurus,0.0332206971943378
150,150,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,30.0,3.0,48000,Phlogophilus hemileucurus,0.1627932786941528
151,151,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,33.0,3.0,48000,Ptilinopus occipitalis,0.1074725687503814
152,152,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,36.0,3.0,48000,Ptilinopus occipitalis,0.0360890850424766
153,153,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,39.0,3.0,48000,Strix woodfordii,0.0223261602222919
154,154,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,42.0,3.0,48000,Strix woodfordii,0.0498365499079227
155,155,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,45.0,3.0,48000,Pellorneum rostratum,0.0159444585442543
156,156,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,48.0,3.0,48000,Strix chacoensis,0.0193158704787492
157,157,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,51.0,3.0,48000,Ammodramus savannarum,0.0223107300698757
158,158,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,54.0,3.0,48000,Neomorphus geoffroyi,0.0198437683284282
159,159,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190628_073000.WAV,60.0,0,57.0,3.0,48000,Strix woodfordii,0.0454344041645526
160,160,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190625_144000.WAV,60.0,0,0.0,3.0,48000,Ptilinopus occipitalis,0.0117536205798387
161,161,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190625_144000.WAV,60.0,0,3.0,3.0,48000,Harpactes erythrocephalus,0.0158717352896928
162,162,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190625_144000.WAV,60.0,0,6.0,3.0,48000,Drymophila squamata,0.0148444958031177
163,163,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190625_144000.WAV,60.0,0,9.0,3.0,48000,Pyrrhura melanura,0.0297644678503274
164,164,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190625_144000.WAV,60.0,0,12.0,3.0,48000,Pyrrhura melanura,0.0891290977597236
