itemid,datasetid,hasbird
65051938-302a-42e9-9618,warblrb10k,1
ae4c11c2-804b-4088-99ce,warblrb10k,1
fda38472-e814-41e7-872e,warblrb10k,1
4c810a17-848f-4ea8-ad53,warblrb10k,1
2b85a1ae-22dc-410c-b40b,warblrb10k,1
6b012d6a-4939-40c9-85cc,warblrb10k,0
65f4dd5c-cf7e-4fd3-9d27,warblrb10k,0
c34be4e6-c07f-4269-ab87,warblrb10k,1
a8280ae5-7429-42ba-ad54,warblrb10k,1
218b8c01-2ff0-4110-a882,warblrb10k,1
e3ca19f6-16e2-46c6-b9b2,warblrb10k,1
7a4e9070-0041-4b99-8fdb,warblrb10k,1
88b086cf-7104-450d-ab6a,warblrb10k,1
ce27dd65-65ae-482e-85bf,warblrb10k,1
27a92870-66f6-4c1a-a880,warblrb10k,1
5db5c04b-5929-4a06-baaa,warblrb10k,1
a37f64df-ce8e-4a3c-9147,warblrb10k,1
d0625668-b3ec-41b0-80f9,warblrb10k,1
b0baa02d-fae2-4d25-9b17,warblrb10k,0
2bfff4c3-7be3-48e4-954d,warblrb10k,1
a4322bc9-c078-47d0-8617,warblrb10k,1
f5a1ab9e-6289-45f7-bdb9,warblrb10k,1
2b7404a6-d5a6-4865-9a97,warblrb10k,1
9be89321-c03b-45f4-a3b5,warblrb10k,1
f1b9662e-bb79-4203-88e1,warblrb10k,1
960d8360-34ab-4f90-acbe,warblrb10k,1
2b4e55bb-bf55-4f6f-b2a5,warblrb10k,1
58cbf8da-a761-44ee-aa27,warblrb10k,1
226e744e-b6fa-4cd4-a05d,warblrb10k,1
786274d1-f663-41f8-8473,warblrb10k,1
8b92c798-a6d5-4180-b008,warblrb10k,1
9b36a308-f2b0-4f3d-a88f,warblrb10k,1
0e91f9aa-e50c-4700-ac7a,warblrb10k,0
871e12ec-2183-4cf6-a9d2,warblrb10k,1
40cb4061-f3cb-4ce7-b34f,warblrb10k,1
4bb0d055-a19c-4727-96ac,warblrb10k,1
fea2ecfa-ca96-418b-a433,warblrb10k,1
035345ad-0afc-4543-931d,warblrb10k,1
e99498a0-44a7-4456-b8dc,warblrb10k,1
abb807ab-faf5-45a4-bc93,warblrb10k,1
45e0f4dc-5a1f-49f3-8449,warblrb10k,1
f3001213-fc29-4e36-bc8c,warblrb10k,1
d50427cc-cfad-4116-b7eb,warblrb10k,1
dd78994e-0d63-4f39-9511,warblrb10k,1
2710f25b-5de0-460a-b187,warblrb10k,1
b555a6fc-8559-4bd9-875e,warblrb10k,0
d7e0e022-ee1e-4850-bc8e,warblrb10k,0
7221b89e-e32d-40e8-917a,warblrb10k,0
60877c20-6065-4040-8860,warblrb10k,1
3f336aab-eb4f-4b4e-b1c4,warblrb10k,0
ab4a8941-b8c8-442e-8671,warblrb10k,1
1b5af0d0-11e1-41f3-8a6b,warblrb10k,1
75edcbc2-43dd-490a-b53c,warblrb10k,1
a6ea5026-01cb-42fc-9258,warblrb10k,1
23677f10-43d7-4ed1-a5ca,warblrb10k,1
79515b94-0539-43a1-b2d4,warblrb10k,1
c373deba-f59b-42fd-9a7a,warblrb10k,1
47fb1834-98be-432e-8975,warblrb10k,1
af6c0de7-6d5a-4db2-9557,warblrb10k,0
b1f75ad8-974b-4289-a8bb,warblrb10k,0
2ddb4d57-4689-4f99-85e2,warblrb10k,1
cdab48ee-1302-4540-af84,warblrb10k,1
c9d2a28b-ac2e-4ce4-92e5,warblrb10k,1
865fb9a7-1f12-48c4-90b6,warblrb10k,1
edcc5fcb-ec6f-4133-9c0b,warblrb10k,1
4919bc7f-3da6-4deb-86c6,warblrb10k,1
051e4a9b-28bf-4835-9478,warblrb10k,1
4258493d-a640-4865-a697,warblrb10k,1
9a092b33-a090-49d4-b641,warblrb10k,1
0eacbedf-b03b-47a4-8e71,warblrb10k,0
0d842387-a468-4a57-a2a9,warblrb10k,0
c5e73526-9ff7-49f5-9daa,warblrb10k,0
8ae7c5a8-8c13-4d07-b916,warblrb10k,1
785081d2-4c96-4d21-8e5e,warblrb10k,1
8901a716-f4cf-4df1-8574,warblrb10k,1
3151db6a-bb08-453d-843b,warblrb10k,1
5d7d4ec3-3983-4d50-844a,warblrb10k,1
137d4fb7-428e-4293-a0c4,warblrb10k,1
c5c6f21c-4fb9-4277-9ed6,warblrb10k,0
7a5d8a6d-bf2c-43bb-96fb,warblrb10k,1
aa2834ad-f391-4b98-b3db,warblrb10k,1
dea24e1f-0878-4776-aaa0,warblrb10k,1
0bff572a-47bb-4675-b944,warblrb10k,1
8dffbad9-c901-471d-8de9,warblrb10k,1
c3e2b60f-6d3c-4509-9b91,warblrb10k,1
f605d834-16da-4258-a225,warblrb10k,1
39115f3d-4976-48fc-ad47,warblrb10k,1
4ade8841-a660-4518-bd8f,warblrb10k,1
f639b131-9647-4efb-a5d9,warblrb10k,1
3b8f47b5-3c23-4dad-bea0,warblrb10k,1
3b20a73b-d821-43ec-88b6,warblrb10k,1
a6f4ad28-b7d2-440b-97f5,warblrb10k,1
10c0b8fa-6ce2-4df2-9f8a,warblrb10k,1
03f2b3dd-567a-498a-a63a,warblrb10k,1
3fd1ff5e-0c57-4c49-b1d3,warblrb10k,1
2ceb3b0c-faed-4d10-a5bb,warblrb10k,1
c02a0685-c873-4242-90cd,warblrb10k,1
363c1377-3522-4d17-9d1b,warblrb10k,1
70c3d42f-a8d4-440a-a727,warblrb10k,1
7d90a797-d5bd-4580-beb0,warblrb10k,1
3884a395-c037-4757-ad05,warblrb10k,0
58cc56db-1d19-4fa7-9ae8,warblrb10k,1
bab0799c-d738-4875-b992,warblrb10k,0
02eff151-df68-4851-90db,warblrb10k,1
41fb4876-b3f3-49e9-893a,warblrb10k,1
13761a9e-faa0-4449-b51c,warblrb10k,0
aaed6df2-fed3-476c-9f9b,warblrb10k,1
45b73e4c-22ba-4a7c-b812,warblrb10k,0
c83403e3-882d-42b1-8242,warblrb10k,0
3c24e851-5266-4224-8b37,warblrb10k,1
f2859a51-4eeb-4d6e-8a4b,warblrb10k,1
cc15b534-4589-4099-ae0f,warblrb10k,1
2529a4e5-6c85-4dae-aeae,warblrb10k,1
b86ec788-d2c0-4f7d-a39f,warblrb10k,0
741d9f21-b5f7-4fa2-b67f,warblrb10k,0
a899bca1-a7ce-4ac9-8869,warblrb10k,1
b147842f-c4ca-4bc8-990e,warblrb10k,1
d73b68c5-a314-4326-b351,warblrb10k,1
58f67398-b232-458a-a47d,warblrb10k,1
1cfcee7a-8b32-4d72-bfeb,warblrb10k,1
dbf04025-62e6-49ed-8c10,warblrb10k,0
05e075af-6464-4882-b0c9,warblrb10k,1
1ec85535-b86e-440b-903a,warblrb10k,1
366229d8-ff96-4884-801b,warblrb10k,1
c90ab208-019f-4b93-9703,warblrb10k,1
9335c208-3988-478c-91e8,warblrb10k,0
71f818cc-2375-4cd8-a28f,warblrb10k,1
05d313ab-b99d-48f0-8243,warblrb10k,1
24a56c1e-31db-4ac7-9ad2,warblrb10k,0
76e629b2-4a1c-48af-b576,warblrb10k,1
2b04a301-1099-413b-8925,warblrb10k,1
88c6d881-a4d3-43d5-b0fe,warblrb10k,1
6ab674cd-beca-4ba3-b236,warblrb10k,1
1a8fbdbb-f3e7-4506-8669,warblrb10k,0
30e970a0-15ba-4838-9c6c,warblrb10k,1
cc5ceca0-d4ad-4622-aca1,warblrb10k,1
8cc6411d-9579-4d27-a9f2,warblrb10k,0
2a6acce6-c129-4875-8cfe,warblrb10k,0
37efd4f5-dfcf-4861-9ba2,warblrb10k,1
b2b96617-2058-446f-a6c7,warblrb10k,1
792933d0-08f0-4fa6-8c4b,warblrb10k,1
bf7c072d-16fe-4c3b-b193,warblrb10k,0
025bfea6-ef49-45be-8be9,warblrb10k,1
d9044c45-23ef-4d7b-8414,warblrb10k,1
86a00e27-900f-424c-8a5a,warblrb10k,1
710e7250-b74d-42aa-a450,warblrb10k,0
f6f27e1b-eb56-4a4e-924d,warblrb10k,1
a80748fd-2841-4a2d-a1ea,warblrb10k,1
f16af29e-2752-4e1e-b022,warblrb10k,1
f305671b-c022-44e9-9aa5,warblrb10k,1
a35f52a1-41f5-4e01-b80d,warblrb10k,1
74840389-1bb3-40c8-8b1c,warblrb10k,1
02891d46-d131-4ae3-8f68,warblrb10k,1
e62a823d-4b72-4296-a8e0,warblrb10k,0
6dea7b46-fb14-482e-a15f,warblrb10k,0
ce5ab7d2-faf4-4513-8581,warblrb10k,1
9309e2b4-452b-4c6a-a738,warblrb10k,0
7908c240-885f-4c25-b24b,warblrb10k,1
a3cbc552-0f96-4032-9277,warblrb10k,1
4dc454fa-b72b-46a4-b4e8,warblrb10k,1
26d661be-6121-4eb1-8a1f,warblrb10k,1
9523989f-b3bb-4bf9-a3df,warblrb10k,1
81312c20-7a31-4363-a86d,warblrb10k,1
6a13f87a-4407-40c9-8fa6,warblrb10k,0
d67b3788-4e9f-4040-9411,warblrb10k,1
4aa6a284-ed8a-4f72-a1b1,warblrb10k,0
3334855f-3b0a-4d52-9542,warblrb10k,1
3abd9077-2898-4e6f-92ec,warblrb10k,1
fdf87f52-a876-4903-92e6,warblrb10k,1
9bcec305-c3a5-43e8-bc05,warblrb10k,0
848eb6c3-4e9d-48c4-8526,warblrb10k,0
19f04d07-3fd5-4573-9803,warblrb10k,1
af7a80b5-89b6-4859-bd42,warblrb10k,0
a2342858-50da-4bdd-92d6,warblrb10k,1
503e87bc-782e-440c-b0a1,warblrb10k,1
60519f0f-97f4-40a3-ab97,warblrb10k,0
541f32d6-7bd0-4c48-9685,warblrb10k,1
2e433e01-9b6e-449c-a441,warblrb10k,1
f618f357-7930-49af-a679,warblrb10k,1
e875d1bd-a4a6-4da9-8009,warblrb10k,1
0a83aa66-db06-49e6-b477,warblrb10k,1
3f1032b9-8932-47a2-9a29,warblrb10k,1
4ac784c9-ef4c-4a7d-ba0c,warblrb10k,1
9c3d2330-8314-4b4c-b2e0,warblrb10k,1
95841045-571d-4a24-a31b,warblrb10k,0
7f48342e-68a4-4aaf-85b1,warblrb10k,0
1b38ff95-ac54-4d73-b821,warblrb10k,1
5a4a2e56-f78f-4365-bf52,warblrb10k,1
98572bc0-d4ab-4805-aa68,warblrb10k,1
1b3854ff-17ec-48c6-89ab,warblrb10k,0
c1c541f6-d1dd-4be3-a1d8,warblrb10k,1
d3e9c456-8b9d-4caf-8cc9,warblrb10k,1
08f4e127-3262-461d-a57f,warblrb10k,1
21033bdb-251f-4ccc-ad10,warblrb10k,1
3e25da48-93ce-4c9e-a45b,warblrb10k,1
cc09c990-12ab-4c77-9c01,warblrb10k,1
868cb52a-4c30-4863-92f2,warblrb10k,1
10600883-0b2a-488e-90a5,warblrb10k,1
d0f75e8a-6811-443b-b708,warblrb10k,1
ded4b255-eb95-4f53-a4d4,warblrb10k,1
3b617b90-96cf-48c1-b111,warblrb10k,1
3e9896cb-94bb-478c-bbf0,warblrb10k,1
10a33dde-5a57-4acd-a841,warblrb10k,1
33d86bd6-60bf-4cbb-b95b,warblrb10k,0
0bf89c58-bdef-4b9d-bff9,warblrb10k,1
592f1ef9-2f43-42ea-a68c,warblrb10k,1
c8e141ec-1a63-4514-b3b9,warblrb10k,1
3cf3aba2-72c6-4232-9194,warblrb10k,1
6c499957-96e6-4e2c-a228,warblrb10k,1
4b5f7a79-c1d0-4d27-899f,warblrb10k,1
722a5cae-7386-4f53-a7e2,warblrb10k,0
b2a89bc4-7c65-4b7e-8b70,warblrb10k,0
5f093e78-f967-4a15-bfde,warblrb10k,0
a331496f-1886-4523-9d42,warblrb10k,1
6a7521e3-6bf2-47b3-8ebb,warblrb10k,1
0635fe27-c51f-47a8-ad00,warblrb10k,0
be4e9e69-cb38-4a22-89ff,warblrb10k,1
3a61d824-cadd-4c7e-a6e5,warblrb10k,0
f8f16370-7d9e-4a16-bc57,warblrb10k,0
f426cf95-41a2-41a9-82b2,warblrb10k,1
99af88a6-daf3-4fd3-af2f,warblrb10k,1
9547935a-af42-4bf7-9fc9,warblrb10k,1
8c91b108-ab62-4eba-a807,warblrb10k,1
709c9cbf-d5d4-40ca-af05,warblrb10k,1
209bfd2c-333a-4134-8d01,warblrb10k,1
d635ef46-b2f7-42b2-a4e3,warblrb10k,1
9a0662a7-07e4-4a70-9d9c,warblrb10k,0
33a33c42-56ec-4256-a8f4,warblrb10k,1
b9270dd3-5fdf-4e3a-85fb,warblrb10k,0
8ba7d725-203a-472f-9e62,warblrb10k,1
9db76da1-1462-440b-b4e4,warblrb10k,1
97e1322d-1bbb-4fb8-9a68,warblrb10k,1
ea9a8e3c-4dbc-432c-97db,warblrb10k,1
ffcb93e5-363b-4c9d-8d7e,warblrb10k,1
2c4c3b9e-0ffc-4ad2-a796,warblrb10k,1
45a3320b-87c2-40c5-af9c,warblrb10k,1
1f453430-7958-4e1e-ab89,warblrb10k,1
a3efd0f6-1657-44db-98fb,warblrb10k,0
699941f5-dac1-4841-ba56,warblrb10k,1
5d0cbf16-d5ad-4d84-90d5,warblrb10k,1
da922a5e-f144-4fc3-9b39,warblrb10k,1
378f13c3-3ad5-421e-868c,warblrb10k,0
02e54971-cb50-4812-954b,warblrb10k,0
0ad90a05-2227-42be-90b0,warblrb10k,0
32fb81d3-c863-4bcd-b342,warblrb10k,0
9b52588b-f892-46bf-9ce9,warblrb10k,0
520f93a8-c124-4dc8-8852,warblrb10k,0
c6d5904c-b378-4175-8a85,warblrb10k,1
6383cab3-467e-4c98-b8ac,warblrb10k,0
0b2dda10-f2b5-4cce-be76,warblrb10k,1
5e718e96-826f-42bd-87a5,warblrb10k,1
d520f51d-9d92-447b-ab73,warblrb10k,0
58cf9ee8-3b7e-4b69-87ed,warblrb10k,1
e85f57ac-21ba-4cf6-9b78,warblrb10k,1
3e3e3394-f5ed-4a41-806e,warblrb10k,1
8a51cf7d-a388-4c21-95cd,warblrb10k,1
50829c9c-0d28-4ca1-bfce,warblrb10k,0
44bd7085-6121-4f41-898c,warblrb10k,0
530b5139-872f-4b4a-a7a4,warblrb10k,1
cc461c25-bf53-4f7c-ab7d,warblrb10k,1
fac29972-a1f6-402e-9026,warblrb10k,1
94208b35-b99a-4e8f-857e,warblrb10k,0
ccf63813-598b-44fa-bea0,warblrb10k,1
45b9e14f-207e-4815-93d1,warblrb10k,1
219b448e-6547-416e-80b2,warblrb10k,1
059abf41-4013-4906-981f,warblrb10k,1
fdacb0cb-2cfb-4f38-a4a6,warblrb10k,1
fea6238f-f326-4d26-821a,warblrb10k,1
4b94b830-78d9-4c77-b796,warblrb10k,1
7070de6a-323f-4574-be2c,warblrb10k,0
245a29f3-f771-4250-af0b,warblrb10k,1
1931030c-ccad-4053-964c,warblrb10k,0
ddf598f8-8162-41f7-b7b9,warblrb10k,1
227819a1-9f0b-4172-ab55,warblrb10k,1
046fcb88-fcd4-42b5-b690,warblrb10k,1
86354d42-8998-44e5-9cfe,warblrb10k,0
8fd82e90-f4ff-475d-a1d4,warblrb10k,1
2032fbdc-2dbd-4430-87a0,warblrb10k,0
8027c6c0-8b32-4886-932f,warblrb10k,1
66b12714-f340-42c3-a147,warblrb10k,0
061af5b7-2b3f-4c2d-821d,warblrb10k,1
422b38b1-9fb5-40b1-8255,warblrb10k,1
925a69ca-1758-40e4-9cfe,warblrb10k,1
0c37de0f-b8ba-4823-81c4,warblrb10k,1
8e21b9ea-0371-4abb-a9f5,warblrb10k,1
d5d4bb9f-e5e3-48a5-9bff,warblrb10k,1
19689d82-915f-42c7-beb3,warblrb10k,1
ae23b060-d2dd-446f-b548,warblrb10k,1
06e7c5ad-128f-417c-a027,warblrb10k,0
14442966-2943-4e17-8e44,warblrb10k,1
e6505c17-bbf2-4091-99c0,warblrb10k,1
645fd388-52a2-4cdc-90f7,warblrb10k,1
c01aed52-61bf-4fcd-af5b,warblrb10k,1
575b8247-ac01-4e6f-80f3,warblrb10k,1
f0b16726-8ba0-44c5-b334,warblrb10k,0
398d9244-a652-4d97-9ec1,warblrb10k,1
24c8d751-8ae4-4be5-ab9c,warblrb10k,1
14e4fde5-7726-4e2e-a7f3,warblrb10k,0
bed978d1-4f90-427a-98ea,warblrb10k,1
6cec3644-8f80-46ae-861b,warblrb10k,1
a92f1855-7716-46ab-9cb3,warblrb10k,1
f1d3cf81-348b-4c21-af82,warblrb10k,1
8ae5af34-ae09-4775-8444,warblrb10k,0
0090e1d1-1987-49f2-a14f,warblrb10k,1
d050ac04-61e9-4ebb-ae84,warblrb10k,1
c1712149-c2a7-4200-9ba3,warblrb10k,1
d546403d-e4aa-4482-9027,warblrb10k,1
fbe77a2f-c766-414b-a12c,warblrb10k,1
1dc33701-55f2-4704-b6c2,warblrb10k,1
6b56748c-e377-4ba5-ad8d,warblrb10k,1
6eb0a1f3-8283-4356-8c48,warblrb10k,0
a749d145-34ee-4bc0-987b,warblrb10k,1
9e072163-f1d5-4286-aa55,warblrb10k,1
947b3c14-50ca-4aec-a881,warblrb10k,0
ae7d6128-36e2-4632-aab3,warblrb10k,1
4db83ad6-2c34-49be-bc3a,warblrb10k,0
b7e6b12d-2bbf-4177-8a39,warblrb10k,1
8ef7c879-c9bf-4702-b6a2,warblrb10k,1
37e8f7f2-4de6-4614-b2ad,warblrb10k,1
72cb08fe-2459-43a8-9dc4,warblrb10k,0
e7f657df-c178-429e-970f,warblrb10k,1
6da76f36-e0da-4cc2-8b4b,warblrb10k,1
f368acd1-d8e0-4124-aa45,warblrb10k,1
2e5e8850-1f88-4b10-8055,warblrb10k,1
d76316f7-b4bd-46eb-9fd6,warblrb10k,1
747265c5-4473-4081-b113,warblrb10k,1
f436b1d1-bb0e-40c5-97dc,warblrb10k,1
f7702f15-77d2-4589-ad30,warblrb10k,0
971e9220-dbec-4a70-a376,warblrb10k,1
29cd2178-f244-46d1-adb0,warblrb10k,0
bfd54a5d-b5e9-4a63-8301,warblrb10k,1
bd3a7e3e-7637-4354-8063,warblrb10k,0
7f910f9b-082a-42fb-b5a6,warblrb10k,1
2720c2ba-1085-442b-82c1,warblrb10k,1
932e69f4-c496-419b-9225,warblrb10k,1
2f7b87ab-ffb2-477e-aa70,warblrb10k,1
720d66fc-cce3-43e6-924a,warblrb10k,1
e018cf53-99bd-440b-b6b3,warblrb10k,0
1043a858-6c25-421c-aea0,warblrb10k,1
34a57d29-e59f-453d-92af,warblrb10k,0
82a52e33-7ab6-4ac0-8bf6,warblrb10k,0
ba6e7e90-6e8d-4b6c-93bd,warblrb10k,1
4f2a438e-0b6d-4410-a690,warblrb10k,1
65dde42b-0db2-496b-bbe8,warblrb10k,1
91125615-f95d-4d4f-9fc0,warblrb10k,1
8ac1a45a-c005-4778-b432,warblrb10k,0
cb3df232-7772-4f91-8e27,warblrb10k,1
f76bac0f-0b1a-45a3-aa8d,warblrb10k,1
3a0a0c9b-6fa5-4fbf-ad11,warblrb10k,1
afd7854f-97d3-4daa-878f,warblrb10k,1
8ce34dd3-64ae-4cfb-b410,warblrb10k,0
bed9c838-00b3-47e1-8673,warblrb10k,1
ef4fe5c2-b283-4f86-b181,warblrb10k,1
a5071cb9-e8b0-4fd5-93b1,warblrb10k,1
ce871109-871c-4598-a047,warblrb10k,1
f3f39149-0a62-4cd3-8c06,warblrb10k,1
b5c2cb97-2eb4-429e-84ec,warblrb10k,0
b85471d4-243c-4b94-bcd6,warblrb10k,1
96a595df-1611-422d-a4fa,warblrb10k,1
56337dfe-7082-409a-8182,warblrb10k,1
92d9432c-febc-4207-9eea,warblrb10k,0
1371d2fd-28a3-4256-b14d,warblrb10k,0
2e40e88f-4a96-443b-99bd,warblrb10k,1
53e26d62-424b-44e7-9010,warblrb10k,1
4c93ace2-49a0-40e5-b312,warblrb10k,1
5bd9dfd2-dcdd-46da-b77f,warblrb10k,0
51c8ad18-c753-495e-985e,warblrb10k,1
e6f0e528-ac65-4af5-8790,warblrb10k,1
31b47d46-9856-4851-910a,warblrb10k,0
603d1466-4c8b-427f-b97e,warblrb10k,0
477f9bf0-cf70-4983-a12f,warblrb10k,1
2d9c9c56-ce84-42f8-8bbf,warblrb10k,1
a1e3ee0f-1bdb-451a-848d,warblrb10k,0
243e16db-bb55-4f8e-a75f,warblrb10k,0
2a9ee19f-0c59-4647-ae03,warblrb10k,1
533200f0-6b98-4bd1-81af,warblrb10k,1
94f617e5-bda0-42aa-8b6a,warblrb10k,0
90012edc-e26e-4019-b4b1,warblrb10k,0
6aae8eb1-bfd8-4a46-ab4a,warblrb10k,1
8b862ed4-7d93-4688-9e26,warblrb10k,1
bd067bca-2a21-4844-8fd8,warblrb10k,1
80c0ad2e-2c04-4274-be67,warblrb10k,0
c859df63-b828-4755-ab55,warblrb10k,1
f2443870-25a7-423f-8b21,warblrb10k,1
384739ec-31c4-4464-9fd2,warblrb10k,1
fbf1c0db-7df2-426d-a0a9,warblrb10k,0
28b469f0-a863-496a-8107,warblrb10k,0
2fb9eda4-b5ac-49b3-a37a,warblrb10k,1
d6611dc5-84a3-4eef-bfa7,warblrb10k,1
7e67c1dc-317a-4cd9-a79d,warblrb10k,0
c6fcacce-69ce-4c68-882b,warblrb10k,1
